item	status	use_in_G296	forbidden_promotion
F1_F4	FOUNDED_OR_DECLARED	metric and reciprocal provenance	profile or history law
W1	WORKING_FOUNDATIONAL_CLARIFICATION	completed-pair normalization only	field equation
W3	WORKING_REGIME_CONSTRAINT	quiet GR comparison	global imported GR dynamics
W4	WORKING_FOUNDATIONAL_CLARIFICATION	one complete metric evaluates clocks free fall null and screen	unique residual
W5	WORKING_FOUNDATIONAL_CLARIFICATION	complete projective relation typing	distance law or history
W6	WORKING_FOUNDATIONAL_CLARIFICATION	controllable response remains metric-causal	locality order or formula
complete_metric	DERIVED_CONDITIONAL_CONFIGURATION_ARENA	faithful primitive-state candidate	selected physical history
completed_pair_network	DERIVED_CONDITIONAL_FAITHFUL_REPRESENTATION	reconstruct supplied metric when rank complete	extra independent field or populated network
normal_coordinates	STANDARD_GEOMETRY_METHOD	first-order local natural boundary	UDT physical premise
curvature	STANDARD_GEOMETRY_OBJECT	first nontrivial local natural metric differential data	selected residual
G259_Lovelock_class	CONDITIONAL_CANDIDATE_CLASS	classify strict order-two rank-two divergence-free lane	founded UDT equation
initial_boundary_data	OPEN	identify member after law supplies solution family	unrestricted empirical fit
observations_sources_matter_scale_Xmax	OPEN_EXCLUDED	no role	input or selector
