object_id	group_id	family	status	exact_scope	source_basis	branch_census	witness_or_obstruction	readiness_consequence
O01	Q01	F02;F07	FORMAL_COMPATIBILITY_ONLY	registered static/time/angular modules	A01-A03	8/8 routes adjudicated; separate modules exact	formal pullbacks and shared zero controls; no common nonzero on-shell field	no realized background
O02	Q01	F02;F07	UNDERDETERMINED_NO_NATIVE_OBJECT	complete common field system	A01-A03	no source-derived whole equation in any route	JR_CERT_NATIVE missing	on-shell status open
O03	Q01	F02;F07	PARTIAL_CONSTRAINT_ONLY	finite-cell boundary modules	A01-A03	static/time/angular boundary duties separately typed	no one differentiable boundary closes all modules	global domain open
O04	Q01	F02;F07	UNDERDETERMINED_NO_NATIVE_OBJECT	tangent at a common realized field	A01-A03	common realized field not supplied	no native tangent domain is defined before its base point and complete domain exist	variation test blocked
O05	Q01	F02;F07	PARTIAL_CONSTRAINT_ONLY	premise fiber product	A01-A03	module premise stacks separately nonempty	separate stack compatibility does not establish one common stack	joint premise stack open
O06	Q02	F01	DERIVED_SCOPED_OBSTRUCTION	banked jet<=2 wall/period/seal scope	A04-A06;G01-G06	fold;partner;glue;open;quotient/cyclic/acyclic periods	B_kappa shares value/first germ for every kappa but delta2B=kappa*v^2	full Hessian remains germ-conditional
O07	Q02	F01	PARTIAL_CONSTRAINT_ONLY	registered N4/period/holonomy/seal content	A04-A06;G01-G06	N4 is typed-not-run; periods/holonomy reach first/global data only	no explicit second-germ equation; lower constraints are kappa-blind	N4 ownership derivation still required
O08	Q03	F05	DERIVED_SCOPED_OBSTRUCTION	frozen ring/period identities	A06-A07;R01-R04	massless constant; all-definite massive excluded; mixed-sign conditional	same ring identity/background admits +x^2/2,-x^2/2,0 response controls	no F05-native stability object
O09	Q03	F05	UNDERDETERMINED_NO_NATIVE_OBJECT	ring perturbation/variation domain	A06-A07	period tangent constraints exist only after a response/domain choice	no native field pairing, norm, or boundary variation domain	second variation undefined
O10	Q03	F05	FORMAL_COMPATIBILITY_ONLY	ring closure identities	A06;R01	massless constant ring exact; mixed-sign full witness conditional	E1=E2=0 satisfies sum(E_i L_i)=0 but is not on shell for an absent response	no response-evaluation point
O11	Q04	F04	DERIVED_SCOPED_OBSTRUCTION	static chosen-functional finite-box data	A07-A10;T01-T03	contracting;rotating;frozen logic controls	identical static equilibrium admits three inequivalent time linearizations	time persistence undefined
O12	Q04	F04	UNDERDETERMINED_NO_NATIVE_OBJECT	physical carrier finite-cell completion	A08-A10	computational pinned box exists; physical boundary classes remain open	solver mask is not a selected physical boundary	global carrier domain open
O13	Q04	F04	PARTIAL_CONSTRAINT_ONLY	conditional Lorentzian null-direction S2 fiber	A08;T04	fiber exists conditionally; constant and varying sections both mathematical	a fiber admits inequivalent unit sections and selects neither	carrier emergence/transport open
O14	Q04	F04	UNDERDETERMINED_NO_NATIVE_OBJECT	time perturbations and topology propagation	A07-A10	static finite-box topology only	no native time law, physical boundary, or section defines the required perturbation/propagation rule	no persistence certificate
O15	Q04	F04	UNDERDETERMINED_NO_NATIVE_OBJECT	working global-local bootstrap schema	A09-A10;T05	identity/contracting/translation map controls	the schema admits all, one, or no fixed point until both maps are derived	no family membership selection
