catch_id	mutation	result	exercised
C01	missing_object	REJECTED	YES
C02	duplicate_object	REJECTED	YES
C03	formal_promoted_to_realized	REJECTED	YES
C04	first_germ_promoted_to_second_owner	REJECTED	YES
C05	period_law_promoted_to_response	REJECTED	YES
C06	static_functional_promoted_to_time	REJECTED	YES
C07	solver_boundary_promoted_to_physical	REJECTED	YES
C08	operator_transfer	REJECTED	YES
C09	bootstrap_schema_promoted_to_selection	REJECTED	YES
C10	countermodel_promoted_to_physics	REJECTED	YES
C11	readiness_promotion	REJECTED	YES
C12	gpu_process_launched	REJECTED	YES
C13	family_abandoned	REJECTED	YES
C14	source_outside_freeze	REJECTED	YES
C15	stronger_overall_conclusion	REJECTED	YES
