authority_id	group_id	path	sha256	role	exact_claim
A01	Q01	udt_joint_realization_closure_audit_2026-08-01/AUDIT_REPORT.md	9fa6113a0546c4ac8a36cb19d5352a9dfe8f67bb3b90df7574b88e08727a20e4	primary adjudication	formal compatibility; common realized certificate open
A02	Q01	udt_joint_realization_closure_audit_2026-08-01/JOINT_GATE_MATRIX.tsv	20c514dc02d62d1bc6b6a06df4033f0929cf76fd3a148cfc1603ec5b09c8cca7	mechanical joint gates	common nonzero field/equation/boundary/tangent gates
A03	Q01	udt_joint_realization_closure_audit_2026-08-01/ROUTE_ADJUDICATION.tsv	6fd2ce5c9a9823857eefb2b4ebcfb49b28da1f7882bdc371d4a3ac5a1cb971fa	route census	eight construction routes do not supply JR_CERT_NATIVE
A04	Q02	udt_p4_boundary_action_gate_2026-07-30/EXACT_DERIVATION.md	4ae2bc6ee6c3dd309c12a38a3ac8b840d5f6839da6a74c0e42a4c836d0c5cb9d	wall-response provenance	N2 first germs active; N4 typed open
A05	Q02	udt_p4_stability_slice_2026-07-30/EXACT_DERIVATION.md	e1d1391dc3923aa6bfc1512df5c437fc9415f180c90d1f2e76861e91475f201e	Hessian provenance	second germ enters Hessian and is unpinned
A06	Q02;Q03	udt_p4_period_gate_2026-07-30/AUDIT_REPORT.md	f977814725c0333c954c9ed24b72b802cc8891924f073deb05edf62a45b3a4d7	period/completion provenance	periods constrain global first-order data, not a response or second germ
A07	Q03;Q04	udt_stability_foundations_audit_2026-08-01/AUDIT_REPORT.md	65e13b80f7cae12e7bf0553c257d1f22fa4b80463198a88eebe653596a9e83d4	missing-law architecture	response/time/domain joins remain open
A08	Q04	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4	carrier/topology status	fiber/section/boundary/time distinctions
A09	Q04	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md	38b697ee11a2873b8ff8bd9ba4f9940d98a70c2053a6e4440d4b925c491fa92e	bootstrap response status	two-arrow skeleton only; maps absent
A10	Q04	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	61c0f3301d3b9f1105611efc23d81a8c58cb96f855745757dafaba29c8aba0cd	global-local closure status	native off-shell response one-form absent
A11	ALL	udt_stability_family_survivor_map_2026-08-01/SURVIVOR_LEDGER.tsv	d9a7e3e68d4fc06f2d8764dad112cd467ad88679825a38c7742bf0b261205b27	parent family status	readiness and premise ceilings before sweep
