object_id	group_id	object	required_for
O01	Q01	common nonzero static/time/angular live field assignment	F02/F07 realized background
O02	Q01	native whole-system equation on the common field	F02/F07 on-shell status
O03	Q01	compatible differentiable finite-cell boundary	F02/F07 realized domain
O04	Q01	tangent/variation domain at the realized field	F02/F07 stability test
O05	Q01	one compatible premise stack	F02/F07 nonempty fiber product
O06	Q02	explicit second-wall-germ ownership equation	F01 full Hessian branch
O07	Q02	N4/period/holonomy/seal implication for the second germ	F01 provenance of O06
O08	Q03	F05-native response or stationary functional	F05 stability object
O09	Q03	F05 perturbation/variation domain	F05 second variation
O10	Q03	compatible realized ring background for the response	F05 evaluation point
O11	Q04	F04-native physical time-response law	F04 time persistence
O12	Q04	physical finite-cell carrier boundary	F04 global domain
O13	Q04	carrier section/transport ownership	F04 field definition
O14	Q04	time perturbation domain and topology propagation rule	F04 persistence certificate
O15	Q04	bootstrap membership/admissibility operation for F04	F04 global-local selection
