premise_id	object	status	use
P01	UDT metric/Reciprocity/finite-cell record	PINNED_BY_FROZEN_THEORY_RECORD	source universe; no new premise
P02	P4 response/action	CONDITIONAL_REGISTERED_ONLY	not transferred outside P4
P03	second wall germ	FREE_AND_EXPLORED	kappa=0 and kappa=1 exact obstruction controls
P04	N4 wall law	OPEN_TYPED_NOT_RUN	not invented; future falsifier of Q02 obstruction
P05	F05 ring response/domain	OPEN	logic controls only; no action adopted
P06	round S2 carrier	POSIT	F04 conditional branch only
P07	L2+L4 carrier functional	CONDITIONAL_CHOSEN	static finite-box result only
P08	computational box/mask	CHOSE_SOLVER_BOUNDARY	never promoted to physical boundary
P09	native physical time law	OPEN	logic controls demonstrate nonselection
P10	bootstrap global-local maps	WORKING_SCHEMA_MAPS_OPEN	not promoted to selection
P11	countermodel functionals/flows	LOGIC_CONTROLS_NOT_UDT_PHYSICS	prove nonimplications only
P12	GPU/stability solve	NOT_LAUNCHED	outside authorized sweep
