object	status	role
G205_base_family	DERIVED_CONDITIONAL	supplied complete static base
Omega_smooth_real	FREE_AND_EXPLORED	common-scale history coordinate
exp_2Omega_positive	PINNED_BY_REGULARITY	Lorentzian conformal factor
completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	post-pullback completed scalar
conformal_connection	STANDARD_GEOMETRIC_EVALUATOR	null affine transformation
causal_conformal_invariance	STANDARD_GEOMETRIC_EVALUATOR	global hyperbolicity transfer
bounded_live_nonspherical_control	CHOSE_CONTROL	completeness survivor
negative_r2_live_nonspherical_control	CHOSE_CONTROL	incompleteness counterexample
timelike_spacelike_conformal_completeness	OPEN	not inferred from null classification
physical_Omega_history	OPEN	no selection
Xmax_action_source_transfer_observations	OMITTED_OPEN	outside bounded theorem

