source_class	included	excluded_or_guard
current_authority	CURRENT_SCIENTIFIC_PREMISES_G50	LIVE_and_registry_precedence
stationary_sublocus_parent	full_report_derivation_result_next	no_repo_wide_owner_promotion
complete_connection_parent	exact_derivation_result_global_atlas	no_physical_path_or_arrow
pair_foliation_parent	exact_derivation	no_cross_leaf_surface promotion
grading_parent	exact_derivation	conditional_complete_coframe_only
bitorsor_and_scalar_descent	exact_derivations	no_screen_phase_or_magnitude selection
terminal_and_flag_readouts	exact_derivations	no_physical c_eff promotion
three_observer_and_transition	exact_derivations	middle_state and path labels retained
protected_curvature_atlas	EXCLUDED_UNREAD	do_not_inspect_cite_stage_or_modify
external_physics	EXCLUDED	no_GR_QM_LCDM_SM_action_or_source import
