catch_id	mutation	result
DROP_CANDIDATE	DROP_CANDIDATE	REJECTED
DUPLICATE_CANDIDATE	DUPLICATE_CANDIDATE	REJECTED
BREAK_JOINT_COMPOSITION	BREAK_JOINT_COMPOSITION	REJECTED
MISTYPE_GLOBAL_ARROW_AS_FIXED_SO2	MISTYPE_GLOBAL_ARROW_AS_FIXED_SO2	REJECTED
MUTATE_COFRAME_WEIGHT	MUTATE_COFRAME_WEIGHT	REJECTED
PROMOTE_OPEN_PATH_ANGLE	PROMOTE_OPEN_PATH_ANGLE	REJECTED
ADD_REAL_ANGULAR_CHARACTER	ADD_REAL_ANGULAR_CHARACTER	REJECTED
PROMOTE_SEMIDIRECT_ACTION	PROMOTE_SEMIDIRECT_ACTION	REJECTED
ERASE_HIGHER_JET_FAMILY	ERASE_HIGHER_JET_FAMILY	REJECTED
OVERPROMOTE_STATIONARY_NONEXACTNESS	OVERPROMOTE_STATIONARY_NONEXACTNESS	REJECTED
SELECT_PHYSICAL_PATH	SELECT_PHYSICAL_PATH	REJECTED
MUTATE_VECTOR_WEIGHT	MUTATE_VECTOR_WEIGHT	REJECTED
MUTATE_COVECTOR_WEIGHT	MUTATE_COVECTOR_WEIGHT	REJECTED
ERASE_C08_INDEPENDENCE	ERASE_C08_INDEPENDENCE	REJECTED
ERASE_GAUGE_QUERY	ERASE_GAUGE_QUERY	REJECTED
ERASE_CHARACTER_TARGET	ERASE_CHARACTER_TARGET	REJECTED
ERASE_ONE_FORM_FAMILY	ERASE_ONE_FORM_FAMILY	REJECTED
