candidate_id	classification	composition	gauge_status	selection_status
J01	DERIVED_GAUGE_COVARIANT_NORMAL_ISOMETRY_GROUPOID_FUNCTOR__LOCALLY_DIRECT_PRODUCT	EXACT	ENDPOINT_COVARIANT	METRIC_OWNED_AFTER_PATH_SUPPLIED
J02	DERIVED_ONE_PARAMETER_COplus2_FUNCTOR_FAMILY	EXACT_ALL_REAL_w	ENDPOINT_COVARIANT	w_UNSELECTED_ABSTRACTLY
J03	DERIVED_COMPLETE_COFRAME_COMPATIBLE_SCREEN_LIFTS	EXACT	ENDPOINT_COVARIANT	VECTOR_w_MINUS_lambda__COVECTOR_w_PLUS_lambda
J04	NO_NONTRIVIAL_OPEN_PATH_ANGLE_SCALAR	NOT_APPLICABLE	INDEPENDENT_ENDPOINT_GAUGE_ERASES_U_DEPENDENCE	ONLY_delta_DEPENDENCE_SURVIVES
J05	UNIQUE_NORMALIZED_CONTINUOUS_REAL_CHARACTER_IS_delta	EXACT	INVARIANT	SO2_CHARACTER_ZERO_BY_COMPACTNESS
J06	CONTINUOUS_U1_CHARACTER_FAMILY	EXACT	OPEN_PATH_COVARIANT_NOT_INVARIANT	k_REAL_n_INTEGER_UNSELECTED
J07	CONDITIONAL_UNIVERSAL_COVER_LIFT	EXACT_AFTER_LIFT	NOT_REPRESENTATIVE_FREE	TRIVIALIZATION_OR_LIFT_REQUIRED
J08	CLOSED_LOOP_HOLONOMY_SURVIVES_WITH_ZERO_delta	LOOP_MULTIPLICATION	SO2_ANGLE_OR_O2_COSINE	ANGULAR_ONLY_ON_LOOP
J09	TWO_PATH_RELATIVE_HOLONOMY_SURVIVES	PATH_PAIR_RETURN	SO2_INVARIANT_OR_O2_CONJUGACY	PATH_PAIR_REQUIRED
J10	NO_NONTRIVIAL_CONTINUOUS_SEMIDIRECT_DEPTH_ACTION	DIRECT_PRODUCT_ONLY	ORIENTATION_REVERSAL_IS_DISCRETE	Aut_SO2_EQUALS_Z2
J11	CONDITIONAL_HIGHER_JET_LINE_INTEGRAL_FAMILY	EXACT_BY_LINE_INTEGRATION	O2_SAFE_IF_BUILT_FROM_EVEN_CURVATURE_INVARIANTS	GENERAL_NONEXACT_CONTROL_NOT_R17_WITNESS__STATIONARY_REALIZATION_OPEN
J12	FLAT_SIMPLY_CONNECTED_CONTROL_REDUCES_TO_ENDPOINT_MAP	EXACT	GLOBAL_PARALLEL_FRAME_EXISTS	SPECIAL_LOCUS_NOT_PHYSICALLY_SELECTED
