gate_id	claim_at_risk	falsifier	maximum_if_failed
F01	endpoint_depth_is_exact_additive	one composable triple with delta_AC_not_delta_AB_plus_delta_BC	TYPE_OR_ALGEBRA_FAILURE
F02	normal_transport_is_functorial	identity_composition_or_reversal_failure	CONNECTION_FUNCTOR_FAILURE
F03	joint_pair_composes	failure_of_componentwise_composition	JOINT_FUNCTOR_FAILURE
F04	open_path_holonomy_has_no_independent_endpoint_gauge_invariant_scalar	nonconstant_bi_endpoint_gauge_invariant_function	NONUNIQUENESS_OR_NO_GO_WITHDRAWN
F05	continuous_real_characters_kill_SO2	nonzero_continuous_homomorphism_SO2_to_R	REAL_CHARACTER_NO_GO_WITHDRAWN
F06	continuous_R_action_on_SO2_is_trivial	nontrivial_continuous_homomorphism_R_to_Aut_SO2	DIRECT_PRODUCT_CLASSIFICATION_WITHDRAWN
F07	all_real_w_CO2_lifts_compose	one_exact_composition_counterexample	WEIGHT_FAMILY_RESTRICTED
F08	complete_coframe_compatibility_fixes_w_to_lambda_and_orientation_sign	second_w_reproduces_same_screen_scale_or_lambda_fails	COFRAME_WEIGHT_UNIQUENESS_WITHDRAWN
F09	closed_loop_depth_vanishes	loop_with_nonzero_endpoint_coboundary	ENDPOINT_DEPTH_TYPE_FAILURE
F10	relative_two_path_holonomy_is_gauge_invariant	endpoint_rotation_changes_conjugacy_or_trace	RELATIVE_HOLONOMY_WITHDRAWN
F11	local_curvature_depth_terms_are_not_groupoid_cocycles	nontrivial_term_with_exact_composition	LOCAL_DIAGNOSTIC_CLASSIFICATION_WITHDRAWN
F12	no_physical_arrow_or_path_selection_follows	any_manifest_backed_owner_of_physical_nonisometric_arrow_or_path	OWNERSHIP_CORRECTION_REQUIRED
