claim_id	claim	status	exact_scope	open_scope
S01	endpoint_depth_and_normal_transport_form_joint_path_functor	DERIVED_CONDITIONAL	global_reciprocal_line_times_oriented_normal_isometry_groupoid__locally_R_times_SO2	physical_path_and_arrow
S02	all_real_weight_COplus2_lifts_compose	DERIVED	order_zero_joint_representations	physical_representation_selection
S03	complete_coframe_fixes_screen_vector_covector_weights	DERIVED_CONDITIONAL	original_R17_screen_vector_and_covector_bundles	lambda_branch_and_full_arrow
S04	open_path_angular_scalar_survives_independent_endpoint_gauge	REFUTED	order_zero_unframed_single_path	framed_or_multi_path_queries
S05	unique_normalized_continuous_real_character_is_delta_K	DERIVED	continuous_characters_factoring_through_local_order_zero_R_times_SO2	arbitrary_groupoid_coboundaries_and_derivative_dependent_line_integrals
S06	circle_valued_angular_characters	DERIVED_FAMILY	k_real_n_integer	physical_character_selection
S07	unwrapped_real_angle	CONDITIONAL	chosen_lift_or_trivialization	representative_free_global_owner
S08	closed_loop_holonomy_survives_with_zero_depth	DERIVED	stationary_endpoint_coboundary_and_D_holonomy	physical_loop_selection
S09	two_path_relative_holonomy	DERIVED	common_endpoints_supplied_two_paths	physical_path_pair_selection
S10	nontrivial_continuous_depth_action_on_SO2	REFUTED	continuous_semidirect_group_class	discrete_orientation_channel_and_other_structures
S11	higher_jet_metric_natural_scalar_path_cocycles	CONDITIONAL_CONSTRUCTION_FAMILY	line_integrals_compose_generally__nonexact_rectangle_is_not_R17_solution_witness	stationary_R17_nonexact_realization_and_UDT_selection_rule
S12	depth_determines_holonomy	REFUTED	C08_exact_control_and_generic_full_SO2	additional_native_equation
S13	flat_locus_is_physically_selected	NOT_DERIVED	mathematical_control_only	branch_on_shell_selection
S14	physical_nonisometric_observer_arrow_or_universal_c_eff	OPEN_NOT_DERIVED	outside_audit	complete_physics
