rank	current_path	primary_owner	destination	git_blob_oid	sha256	operational_inbound	literal_boundary_audit	outbound_closure	runtime_relative_paths	generated_outputs	frozen_manifest_audit	family_companions	test_dynamic_audit	closure_ruling	future_requirements
1	simple_metric_S8_action_provenance_note.md	MACRO	research/macro/simple_metric_S8_action_provenance_note.md	94b494cd326a27aacbbbedbd9aa91febb8acf471	a3fae1798f64c4bdc3a79692a618281c407d162309073a02dc72d89eb9c554f9	0 operational edges;8 forensic edges all reorganization snapshots	51 corrected-boundary occurrences across 15 literal-git-grep sources;cross-check PASS	line 10 simple_metric_solution_space_ZOOM.md;future exact substitution ../../simple_metric_solution_space_ZOOM.md	NONE	NONE	candidate NOT_FROZEN_OR_MANIFEST;0 frozen-package inbound sources;historical reorganization records remain unchanged	simple_metric_solution_space_ZOOM.md remains at root and is the sole referenced companion	no hygiene glob match;no import/runtime/test edge	PASS_RECOMMENDED	git mv only under separate dispatch;line-10 path-only substitution;regenerate live R1C navigation records;R100/blob/SHA verification
2	verify_center_escape.py	MACRO	research/macro/verify_center_escape.py	867cddbad61287219658912e3523c9dbbe2cc7e9	ef0a29e58d7132d908ac94869d0c94ee1d65caceea13c42bdf9e7019eb998aa5	0 operational edges;6 forensic edges all reorganization snapshots	39 corrected-boundary occurrences across 14 literal-git-grep sources;cross-check PASS	only external sympy import;stdout only	NONE	NONE	candidate NOT_FROZEN_OR_MANIFEST;0 frozen-package inbound sources	verifier quartet plus immutable center/re-centering result records	no hygiene glob match;no file-open or dynamic path	PASS_DEFER_FAMILY_BUNDLE	adjudicate and move verifier quartet coherently;retain immutable result records at root
3	verify_center_nogo.py	MACRO	research/macro/verify_center_nogo.py	a86c2554959ccb5478fd2043a0030d8a9caa2530	206d51e2d7a44ea567a49ae8da114e5a9e801e970a96b21b4e6393376abf88d0	0 operational edges;6 forensic edges all reorganization snapshots	39 corrected-boundary occurrences across 14 literal-git-grep sources;cross-check PASS	only external sympy import;stdout only	NONE	NONE	candidate NOT_FROZEN_OR_MANIFEST;0 frozen-package inbound sources	verifier quartet plus immutable center/re-centering result records	no hygiene glob match;no file-open or dynamic path	PASS_DEFER_FAMILY_BUNDLE	adjudicate and move verifier quartet coherently;retain immutable result records at root
4	verify_eos_dS_window.py	MACRO	research/macro/verify_eos_dS_window.py	9cb1f6917debc40700d99eaebb1f4c927d1b8293	719fd2f4f70fc72dee2d129d57515957adf82a0ed962986453500ac5752ac58d	0 operational edges;6 forensic edges all reorganization snapshots	39 corrected-boundary occurrences across 14 literal-git-grep sources;cross-check PASS	only external sympy import;stdout only	NONE	NONE	candidate NOT_FROZEN_OR_MANIFEST;0 frozen-package inbound sources	verifier quartet plus immutable EOS/dS result records	no hygiene glob match;no file-open or dynamic path	PASS_DEFER_FAMILY_BUNDLE	adjudicate and move verifier quartet coherently;retain immutable result records at root
5	verify_wrl_canon.py	MACRO	research/macro/verify_wrl_canon.py	e5f2b5760326b7eefa7f7dc0339118b8bd327deb	b5e6b5b79a1f743962d94820d9e5e14e0315fec0873962158bc5bdc5190877fc	0 operational edges;6 forensic edges all reorganization snapshots	39 corrected-boundary occurrences across 14 literal-git-grep sources;cross-check PASS	only external sympy import;stdout only	NONE	NONE	candidate NOT_FROZEN_OR_MANIFEST;0 frozen-package inbound sources	verifier quartet plus immutable WR-L audit results and retained CANON.md	no hygiene glob match;no file-open or dynamic path	PASS_DEFER_FAMILY_BUNDLE	adjudicate and move verifier quartet coherently;retain immutable result records and CANON.md at root
6	simple_metric_legacy_double_fix_side_excursion.md	MACRO	research/macro/simple_metric_legacy_double_fix_side_excursion.md	183e6f58a0e093138d0e1698670d413c6072dbf8	56232dc127822a7842b16e73b1f7c45e8cfe3d1080dd5c84ce64a00e0df88ab9	0 operational edges;6 forensic edges all reorganization snapshots	32 corrected-boundary occurrences across 12 literal-git-grep sources;cross-check PASS	NONE	NONE	NONE	candidate NOT_FROZEN_OR_MANIFEST;0 frozen-package inbound sources	explicitly legacy DEMO/historical content requires archive-vs-active lane ruling	matches root-only hygiene glob simple_metric_legacy_*_excursion.md;move would change test coverage	BLOCKED_TEST_SCOPE_AND_ACTIVE_FAMILY_MISMATCH	resolve archive-vs-active ownership and preserve hygiene coverage before any move
7	simple_metric_dotted_line.py	MACRO	research/macro/simple_metric_dotted_line.py	f79fd1ec197e9c26e6b8337248b1a4717ec02a6f	928e2b33b7fdbf7dd1e705e9fa117dc7fe8885630f2b51b93945fd6054e216fc	0 operational edges;6 forensic edges all reorganization snapshots	73 corrected-boundary occurrences across 13 literal-git-grep sources;cross-check PASS	external imports plus sibling JSON write	ROOT=Path(__file__).parent;writes sibling output	simple_metric_dotted_line_out.json	candidate NOT_FROZEN_OR_MANIFEST;output is IMMUTABLE_PATH/R0_FROZEN_EVIDENCE;0 frozen-package inbound sources	immutable output JSON must retain root path	no hygiene glob match;runtime output location changes after move	BLOCKED_IMMUTABLE_GENERATED_OUTPUT	resolve output-location contract without moving or rewriting immutable output
8	simple_metric_promising_candidates_zoom.py	MACRO	research/macro/simple_metric_promising_candidates_zoom.py	01d9abb4febd81734e10d11f17b05924a7c269ee	d89065ed4e7eac7c27a1c735b3573629ab4af81a12278280fc64f8d56832c985	0 operational edges;6 forensic edges all reorganization snapshots	78 corrected-boundary occurrences across 13 literal-git-grep sources;cross-check PASS	external imports plus sibling JSON write	ROOT=Path(__file__).parent;writes sibling output	simple_metric_promising_candidates_zoom_out.json	candidate NOT_FROZEN_OR_MANIFEST;output is IMMUTABLE_PATH/R0_FROZEN_EVIDENCE;0 frozen-package inbound sources	immutable output JSON must retain root path	no hygiene glob match;runtime output location changes after move	BLOCKED_IMMUTABLE_GENERATED_OUTPUT	resolve output-location contract without moving or rewriting immutable output
9	simple_metric_relational_rooms_continue.py	MACRO	research/macro/simple_metric_relational_rooms_continue.py	477595cb11089c152d0e082921cfc3ef2da0f9af	ca97b65e28bfa795a1d466b288c3c14c3d55881497b6421c2a25cc5f5b8594e3	0 operational edges;6 forensic edges all reorganization snapshots	73 corrected-boundary occurrences across 13 literal-git-grep sources;cross-check PASS	external imports plus sibling JSON write	ROOT=Path(__file__).parent;writes sibling output	simple_metric_relational_rooms_continue_out.json	candidate NOT_FROZEN_OR_MANIFEST;output is IMMUTABLE_PATH/R0_FROZEN_EVIDENCE;0 frozen-package inbound sources	immutable output JSON and retained results document	no hygiene glob match;runtime output location changes after move	BLOCKED_IMMUTABLE_GENERATED_OUTPUT	resolve output-location contract without moving or rewriting immutable output
10	noNull_evidence_checker.py	PARTICLE_MASS	research/particle_mass/noNull_evidence_checker.py	7fda84b69197e512979793a43b4c7e798cd36d49	ebef723192529aaa90d87aca234fe631667a41b5e2e3ed0993cd1666c76d79d0	0 operational edges;7 forensic edges all reorganization snapshots	134 corrected-boundary occurrences across 14 literal-git-grep sources;cross-check PASS	numpy/json/os/re plus tracked and dynamic file edges	root-CWD opens six absent/local NPZ inputs plus tracked log/evidence/output	six refine NPZ inputs absent from clean tree;writes noNull_evidence_checker_output.txt	candidate NOT_FROZEN_OR_MANIFEST;output and stability evidence are IMMUTABLE_PATH/R0_FROZEN_EVIDENCE;0 frozen-package inbound sources	noNull_evidence_seal.py;current noNull_hess_h2fit_log.txt;six local refine NPZs;immutable evidence/output	no hygiene glob match;runtime requires root CWD and local generated inputs	BLOCKED_FROZEN_EVIDENCE_AND_ABSENT_INPUTS	adjudicate full evidence family and local-input provenance;do not strand immutable output
