current_path	primary_owner	migration_readiness	blocking_or_change_requirement	recommended_destination_if_migrated
controlled_relax_hessian.py	PARTICLE_MASS	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/particle_mass/controlled_relax_hessian.py
hopfion_static_mass_hessian_256driver.py	PARTICLE_MASS	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/particle_mass/hopfion_static_mass_hessian_256driver.py
long_relax_256.py	PARTICLE_MASS	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/particle_mass/long_relax_256.py
noNull_evidence_checker.py	PARTICLE_MASS	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/particle_mass/noNull_evidence_checker.py
simple_metric_S8_action_provenance_note.md	MACRO	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/macro/simple_metric_S8_action_provenance_note.md
simple_metric_dotted_line.py	MACRO	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/macro/simple_metric_dotted_line.py
simple_metric_legacy_double_fix_side_excursion.md	MACRO	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/macro/simple_metric_legacy_double_fix_side_excursion.md
simple_metric_promising_candidates_zoom.py	MACRO	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/macro/simple_metric_promising_candidates_zoom.py
simple_metric_relational_rooms_continue.py	MACRO	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/macro/simple_metric_relational_rooms_continue.py
verify_center_escape.py	MACRO	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/macro/verify_center_escape.py
verify_center_nogo.py	MACRO	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/macro/verify_center_nogo.py
verify_eos_dS_window.py	MACRO	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/macro/verify_eos_dS_window.py
verify_wrl_canon.py	MACRO	MOVE_READY	NO_RECORDED_INBOUND_DEPENDENCY	research/macro/verify_wrl_canon.py

