id	premise	status	scope
P01	metric_is_the_theory	PINNED_BY_THEORY	binding method
P02	founded_phi_identity	DERIVED	additive reciprocal group coordinate
P03	physical_phi_assignment	OPEN	endpoint path chart or bilocal type
P04	observer_pair_local_neutrality	DERIVED	rho_p_p_zero
P05	pair_path_groupoid	DERIVED_GIVEN_INPUTS	complete metric path pair depth and vertical resets
P06	complete_coframe_lift	CONDITIONAL_FAMILY	lambda and angular mixing open
P07	metric_signed_depth_assignment	OPEN_ABSENT	zero registered all-gate routes
P08	first_jet_shortcut	REFUTED_BOUNDED	no universal nonzero closed linear motif
P09	complete_branch_pullback	NO_REGISTERED_WITNESS	branch library scope only
P10	configuration_response	OPEN_ABSENT	different domain from path cocycle
P11	bootstrap	WORKING_ONSHELL_ADMISSIBILITY	not an offshell map
P12	action	CONDITIONAL_DOWNSTREAM	response integrability required
P13	carrier_source_mass_boundary	OPEN	not selected
P14	c_E_G_obs	OBSERVATIONAL_ANCHORS	scalar calibration only
P15	strong_local_CSN	CHALLENGED_INACTIVE	not used
P16	fixed_point_operator	TO_BE_AUDITED	requires a self-map or equivalent zero problem
