source_path	role	allowed_use
LIVE.md	current_authority	current status and dependency order
CURRENT_SCIENTIFIC_PREMISES.md	premise_precedence	founded phi and inactive CSN
CURRENT_SCIENTIFIC_PREMISES.tsv	premise_registry	exact current status rows
udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	bilocal_type	observer-indexed depth and angular requirement
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	lift_family	lambda family and directional algebra
udt_observer_pair_triangle_consistency_audit_2026-07-26/AUDIT_REPORT.md	composition_routes	conditional lambda-one and endpoint groupoid
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	path_groupoid	corrected typed composition and missing depth
udt_calibrated_reciprocal_readout_descent_audit_2026-07-26/AUDIT_REPORT.md	readout_fork	aligned mixed internal and ordinary routes
udt_metric_native_signed_depth_availability_audit_2026-07-26/AUDIT_REPORT.md	depth_availability	zero registered all-gate routes
udt_founded_pair_first_jet_one_form_atlas_2026-07-26/AUDIT_REPORT.md	first_jet_boundary	no universal closed first-jet line
udt_complete_branch_founded_pair_pullback_audit_2026-07-26/AUDIT_REPORT.md	branch_pullback	zero registered complete pullback witnesses
udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	response_architecture	offshell response and action dependency
udt_global_local_relational_closure_audit_2026-07-25/DEPENDENCY_ARCHITECTURE.tsv	parent_graph	D01-D12 status
udt_bootstrap_clock_angular_closure_audit_2026-07-24/AUDIT_REPORT.md	bootstrap_status	on-shell admissibility and zero complete closure
udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	completion_universe	12 registered families
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	frontier	current overlays and historical scope
AGENTS.md	method	binding evidence and claim discipline
