from_index	to_index	delta_relative_R	standard_error	standardized	sign
0	1	0.7516095858827077	0.024178643222641186	31.085680820125216	positive
1	2	0.6713852511197029	0.018628689655366935	36.04039057713737	positive
2	3	0.6408784120845179	0.02350366585897486	27.26716827621164	positive
3	4	0.506559753748522	0.028963785218186107	17.489418248774253	positive
4	5	0.5026035693850455	0.03427645025364477	14.66323279294656	positive
5	6	0.3628066537671826	0.03817248145745197	9.504403169900709	positive
6	7	0.39472037575627095	0.04223749252218132	9.345260624763194	positive
7	8	0.2495204548716643	0.05784584659217269	4.313541413454353	positive
8	9	0.15712171355979	0.10449662832843996	1.5036055810905766	positive
9	10	0.25762697314853256	0.1485503541714443	1.7342737052730364	positive
10	11	-0.07374695415470889	0.2379746640804466	-0.3098941412089942	negative
