item	status	role
F1_F4	FOUNDED_AND_DECLARED	primary reciprocal metric grammar on supplied depth
W1	WORKING_FOUNDATIONAL_CLARIFICATION	completed pair readout after the orchestra
W3	WORKING_POSIT_NOT_CANON	GR quiet-limit and native extreme-departure requirement
endpoint_frequency_attachment	CONDITIONAL	phi equals log one plus z on the supplied calibrated query
G119_screen_theorem	DERIVED_CONDITIONAL	d_A equals areal radius R on the regular central-spherical branch
transparent_transfer	IMPORTED_CONDITIONAL	d_L equals one plus z squared times R for the frozen SNe interface
G237_state	OBSERVED_PROCESSED_CONDITIONAL	twelve relative R knots with full retained within-state covariance
cross_release_covariance	CHOSE_STATISTICAL_APPROXIMATION	zero after exact-CID de-overlap; shared systematics remain open
absolute_scale	OPEN	one positive homothety remains until an independent same-object attachment
continuous_profile	OPEN	no interpolation or derivative law supplied
static_GR_vacuum_exterior	COMPARISON_ONLY	not imposed on the SNe branch
