source	line	category	kind	raw_target	resolved_target	status	detail
.claude/hooks/corral_trigger.py	3	TEXT_REFERENCE	TEXT_REFERENCE	COGNITIVE_CORRAL_TRIGGERS_SETUP.md	COGNITIVE_CORRAL_TRIGGERS_SETUP.md	RESOLVED_TRACKED	-
.claude/hooks/corral_trigger.py	11	TEXT_REFERENCE	TEXT_REFERENCE	CLAUDE.md	CLAUDE.md	RESOLVED_TRACKED	-
.claude/hooks/corral_trigger.py	18	PYTHON_IMPORT	PY_IMPORT	json	json	EXTERNAL_OR_STDLIB	-
.claude/hooks/corral_trigger.py	19	PYTHON_IMPORT	PY_IMPORT	sys	sys	EXTERNAL_OR_STDLIB	-
.claude/hooks/corral_trigger.py	32	FILE_PATH	FILE_PATH_CALL	out	out	DYNAMIC	json.dump
.claude/hooks/corral_trigger.py	38	FILE_PATH	FILE_PATH_CALL	sys.stdin	sys.stdin	DYNAMIC	json.load
.claude/hooks/corral_trigger.py	48	TEXT_REFERENCE	TEXT_REFERENCE	LIVE.md	LIVE.md	RESOLVED_TRACKED	-
.claude/skills/no-shortcuts/SKILL.md	17	TEXT_REFERENCE	TEXT_REFERENCE	solver_action.py	solver_action.py	RESOLVED_TRACKED	-
.claude/skills/solution-space-not-imposition/SKILL.md	71	MARKDOWN_LINK	WIKI_LINK	how-we-work-method	.claude/skills/solution-space-not-imposition/how-we-work-method	MISSING_OR_GENERATED	-
.claude/skills/solution-space-not-imposition/SKILL.md	71	MARKDOWN_LINK	WIKI_LINK	solution-space-not-imposition	.claude/skills/solution-space-not-imposition/solution-space-not-imposition	MISSING_OR_GENERATED	-
.claude/skills/solution-space-not-imposition/SKILL.md	71	MARKDOWN_LINK	WIKI_LINK	solver-first-not-mechanism	.claude/skills/solution-space-not-imposition/solver-first-not-mechanism	MISSING_OR_GENERATED	-
.claude/skills/verifier-before-record/SKILL.md	33	TEXT_REFERENCE	TEXT_REFERENCE	CROSS_MODEL_VERIFY.md	CROSS_MODEL_VERIFY.md	RESOLVED_TRACKED	-
AGENTS.md	3	STARTUP	STARTUP_REFERENCE	CANON.md	CANON.md	RESOLVED_TRACKED	-
AGENTS.md	3	TEXT_REFERENCE	TEXT_REFERENCE	CANON.md	CANON.md	RESOLVED_TRACKED	-
AGENTS.md	25	STARTUP	STARTUP_REFERENCE	LIVE.md	LIVE.md	RESOLVED_TRACKED	-
