id	object	status	exact_scope	what_is_not_claimed
S01	founded_reciprocal_pair	DERIVED_RETAINED	P_phi_equals_diag_exp_minus_phi_exp_plus_phi	complete_extension_or_profile
S02	bounded_complete_extension_class	DERIVED_CLASSIFICATION_RETAINED	seven_constant_generator_parameters_in_registered_triangular_section	global_or_all_chart classification
S03	physical_metric_tangent_of_extension	DERIVED_RANK_SEVEN	Q_ext_equals_X_ext_transpose_eta_plus_eta_X_ext	propagating_mode_count
S04	local_Lorentz_quotient_intersection	DERIVED_ZERO_DIMENSIONAL_INTERSECTION	pointwise_tangent_at_identity_in_registered_section	global_gauge_fixing_or_selected_section
S05	active_registered_selector_rank	ZERO	P01_through_P18_with_inactive_and_untyped_rows_excluded_by_rule	proof_no_future_selector_can_exist
S06	nonspectator_survivors	DERIVED_EXACT_WITNESSES	determinant_one_angular_and_mixing_families	physical_selection_or realized_universe
S07	fixed_full_frame_invariance	INCOMPATIBLE_WITH_FOUNDED_NONTRIVIAL_GENERATOR	centralizer_of_connected_local_Lorentz_algebra_in_M4_is_scalar_identity	failure_of_frame_reciprocity
S08	full_frame_equivariance	REQUIRED_OPEN_LIFT	generator_or_reciprocal_slot_must_transform_with_frame	unique_slot_or complete_coframe action
S09	finite_cell_and_seal_selector	BLOCKED_UNTYPED_OR_NONUNIQUE	phi_zero_is_identity_for_all_extensions_and_complete_lifts_survive	selected_boundary_or lift
S10	c_E_and_G_obs_extension_selection	NO_REGISTERED_RANK	observational_calibration_only	claim_anchors_can_never_enter_future_closure
S11	strong_local_CSN	INACTIVE_CHALLENGED_NOT_DERIVED	counterfactual_rank_not_counted	CSN_proved_false
S12	bootstrap_extension_selection	BLOCKED_DOMAIN_MISMATCH	on_shell_admissibility_only	future_offshell_bootstrap_response impossible
S13	Xmax_extension_selection	BLOCKED_OPEN_GLOBAL_SCHEMA	Dg_observer_domain_and_pairing_open	global_pair limit rejected
S14	variation_domain	OPEN_NOT_SELECTED	pointwise extension kinematics does not choose varied fields_or_boundary	no_variation_domain_exists
S15	complete_physical_coframe_extension	OPEN	all_seven_physical_tangent_directions_survive_active_rank_and_slot_lift_open	unconditional spectator or Hopf extension
S16	audit_grade	VERIFIED_WITH_CAVEATS_BOUNDED_POINTWISE_SELECTOR_RANK	preregistered_exact_algebra_independent_stdlib_source_manifest_no_fresh_external_model	global closure or canon
S17	smallest_missing_native_object	OPEN_COVARIANT_COMPLETE_COFRAME_LIFT_OR_SECTION_RULE	must map founded_pair_into_complete_coframe_and_define_physical_equivalence_without_inactive_premises	action_or carrier may be substituted
