id	premise	current_status	selector_domain_to_test	admissible_role
P01	founded_reciprocal_c_pair	DERIVED_ACTIVE_FOUNDATION	founded_2x2_projection	ACTIVE_ALGEBRAIC
P02	dual_UDT_Reciprocity	DERIVED_ACTIVE_FOUNDATION	founded_2x2_projection_and_pairing	ACTIVE_ALGEBRAIC
P03	regular_additive_composition	THEORY_IN_REGISTERED_FOUNDATION	continuous_one_parameter_family	ACTIVE_ALGEBRAIC
P04	observer_order_reversal	DERIVED_PAIR_INVERSE	continuous_one_parameter_family	ACTIVE_ALGEBRAIC
P05	observer_frame_reciprocity	CONDITIONAL_LOCAL_LORENTZIAN_READOUT	physical_metric_and_local_frame_quotient	TEST_CONDITIONAL_SCOPE
P06	coordinate_covariance	REQUIRED_METRIC_READING	physical_metric_tensor	ACTIVE_STRUCTURAL
P07	local_Lorentz_coframe_equivalence	CONDITIONAL_DECLARED_READOUT	coframe_presentation_kernel	TEST_CONDITIONAL_SCOPE
P08	measured_c_E	OBSERVED_ANCHOR	clock_length_calibration	ACTIVE_CALIBRATION
P09	measured_G_obs	OBSERVED_ANCHOR	dimensional_gravity_calibration	ACTIVE_CALIBRATION
P10	finite_cell_structure	REGISTERED_OPEN_COMPLETION_FAMILY	global_domain_and_boundary	TEST_TYPED_OPERATION
P11	seal_and_reversal_records	REGISTERED_BRANCH_SCOPED	global_join_or_boundary_matching	TEST_TYPED_OPERATION
P12	common_factor_cancellation	EXACT_ALGEBRA_NOT_GAUGE	common_scalar_factor	ACTIVE_IDENTITY_ONLY
P13	strong_local_CSN	CHALLENGED_NOT_DERIVED_INACTIVE	local_conformal_quotient	COUNTERFACTUAL_ONLY
P14	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY_ONLY	completed_solution_space	TEST_DOMAIN_MISMATCH
P15	Xmax_observer_pair_schema	WORKING_GLOBAL_SCHEMA	global_pair_separation_limit	TEST_TYPED_OPERATION
P16	conditional_toric_Hopf_structures	CONDITIONAL_UNSELECTED	selected_global_angular_bundle	EXCLUDED_AS_SELECTOR
P17	carrier_and_matter_action	POSIT_OR_OPEN	matter_configuration_and_dynamics	EXCLUDED_AS_SELECTOR
P18	native_action_source_boundary_functional	OPEN	off_shell_variation_and_boundary	EXCLUDED_AS_SELECTOR
