id	premise	current_operation_on_bounded_family	typed_off_shell	active_selector_rank	ruling	load_bearing_source
P01	founded_reciprocal_c_pair	fixes_only_H_equals_diag_minus1_plus1	YES	0	PAIR_PROJECTION_DOES_NOT_RESTRICT_K_OR_C	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md
P02	dual_UDT_Reciprocity	preserves_fixed_pairing_only_on_founded_2x2_block	YES	0	NO_COMPLETE_4D_PAIRING_EXTENSION_IS_REGISTERED	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md
P03	regular_additive_composition	E_phi_equals_exp_phi_X_for_constant_X	YES	0	SATISFIED_BY_EVERY_GENERATOR_IN_BOUNDED_CLASS	udt_native_coframe_composition_law_audit_2026-07-23/AUDIT_REPORT.md
P04	observer_order_reversal	E_minus_phi_equals_E_phi_inverse	YES	0	SATISFIED_BY_EVERY_GENERATOR_IN_BOUNDED_CLASS	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md
P05	observer_frame_reciprocity	local_metric_pair_symmetry_and_generator_equivariance	YES	0	FIXED_INVARIANCE_IS_INCOMPATIBLE_AND_EQUIVARIANCE_DOES_NOT_SELECT_A_SLOT	udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md
P06	coordinate_covariance	endomorphism_and_metric_tensors_transform_with_chart	YES	0	COVARIANCE_IS_TRANSFORMATION_LAW_NOT_COMPONENT_SELECTOR	udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md
P07	local_Lorentz_coframe_equivalence	quotient_by_eta_antisymmetric_presentation_tangent	YES	0	INTERSECTION_WITH_SEVEN_DIMENSIONAL_TRIANGULAR_EXTENSION_TANGENT_IS_ZERO	udt_native_coframe_composition_law_audit_2026-07-23/AUDIT_REPORT.md
P08	measured_c_E	calibrates_clock_length_conversion	NO_COMPLETE_EXTENSION_MAP	0	NO_REGISTERED_EQUATION_FOR_DIMENSIONLESS_K_OR_C	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv
P09	measured_G_obs	calibrates_gravitational_normalization	NO_COMPLETE_EXTENSION_MAP	0	NATIVE_PLACEMENT_REMAINS_OPEN	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv
P10	finite_cell_structure	classifies_global_domains_boundaries_and_joins	NO	-	BLOCKED_UNTYPED_SELECTOR_FOR_POINTWISE_EXTENSION	udt_finite_cell_completion_atlas_2026-07-21/AUDIT_REPORT.md
P11	seal_and_reversal_records	phi_zero_makes_every_one_parameter_extension_identity_but_complete_lift_is_unselected	PARTIAL	0	SCALAR_SEAL_VALUE_HAS_ZERO_EXTENSION_RANK_AND_FULL_LIFT_REMAINS_OPEN	complete_coframe_seal_involution_2026-07-20/AUDIT_REPORT.md
P12	common_factor_cancellation	ratio_identity_under_common_rescaling	YES	0	ALGEBRAIC_IDENTITY_NOT_LOCAL_SCALE_GAUGE_OR_EXTENSION_EQUATION	udt_common_scale_neutrality_provenance_audit_2026-07-24/AUDIT_REPORT.md
P13	strong_local_CSN	local_conformal_quotient_if_reauthorized	INACTIVE	-	CHALLENGED_NOT_DERIVED_AND_EXCLUDED_FROM_ACTIVE_RANK	CURRENT_SCIENTIFIC_PREMISES.tsv
P14	bootstrap	admissibility_predicate_on_completed_on_shell_solutions	NO	-	DOMAIN_MISMATCH_NOT_OFFSHELL_LOCAL_SELECTOR	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv
P15	Xmax_observer_pair_schema	global_supremum_after_Dg_observer_domain_and_pairing_are_supplied	NO	-	NO_POINTWISE_EXTENSION_OPERATION	udt_xmax_observer_separation_audit_2026-07-24/STATUS_LEDGER.tsv
P16	conditional_toric_Hopf_structures	acts_only_after_angular_bundle_periods_caps_and_quotient_are_selected	NO	-	CONDITIONAL_DOWNSTREAM_AND_EXCLUDED_AS_SELECTOR	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv
P17	carrier_and_matter_action	separately_posited_or_open_matter_configuration	NO	-	EXCLUDED_NO_CARRIER_PROMOTION	CURRENT_SCIENTIFIC_PREMISES.tsv
P18	native_action_source_boundary_functional	absent_offshell_response_and_variation_domain	NO	-	OPEN_AND_EXCLUDED_NO_ACTION_BACKFILL	CURRENT_SCIENTIFIC_PREMISES.tsv
