id	corruption	expected	result
K01	promote_strong_local_CSN_to_active_selector	REJECT	PASS
K02	promote_common_factor_cancellation_to_local_gauge	REJECT	PASS
K03	assign_c_E_a_fake_positive_extension_rank	REJECT	PASS
K04	promote_on_shell_bootstrap_to_off_shell_selector	REJECT	PASS
K05	assign_finite_cell_label_a_fake_positive_rank	REJECT	PASS
K06	remove_physical_direction_as_local_Lorentz_gauge	REJECT	PASS
K07	omit_a_preregistered_premise	REJECT	PASS
K08	duplicate_a_preregistered_premise	REJECT	PASS
K09	omit_an_extension_family	REJECT	PASS
K10	change_physical_metric_tangent_rank_from_seven	REJECT	PASS
K11	promote_spectator_extension_to_unique	REJECT	PASS
K12	promote_variation_domain_to_selected	REJECT	PASS
K13	promote_global_completion_to_selected	REJECT	PASS
K14	corrupt_joint_spectator_condition_rank	REJECT	PASS
K15	corrupt_a_registered_source_identity	REJECT	PASS
