premise_id	statement	status	allowed_use
P01	The exact C0/C1 metric foundation is the affirmative starting point.	pinned-by-THEORY	Use only at its registered scope.
P02	Reciprocal UDT kinematics is derived in its registered positional/metric scope.	pinned-by-THEORY	Does not itself select dynamics, carrier, cap data, or boundary completion.
P03	Common-Scale Neutrality is a registered foundational constraint.	pinned-by-THEORY	Use only consequences explicitly established by evidence.
P04	Finite-cell structure and bootstrap are registered UDT principles.	pinned-by-THEORY	Do not infer a selector not already derived.
P05	The metric is the theory.	pinned-by-THEORY	Every affirmative native result must trace to the metric and registered principles.
P06	The S2 carrier is not derived.	POSIT	May classify conditional particle evidence; cannot satisfy native-action or no-posit gates.
P07	Pre-scale C2/Bach dynamics is unique only under its stated variation-before-scale premise.	CONDITIONAL	Cannot satisfy native action authority unconditionally.
P08	Post-scale EH dynamics is conditional on bootstrap selecting a physical metric representative and minimality.	CONDITIONAL	Cannot satisfy native action authority unconditionally.
P09	GR and standard-theory structures are comparison/readout tools only unless separately derived.	pinned-by-THEORY	Cannot provide affirmative native authority.
P10	Pre-July material may expose failures and counterexamples but cannot provide affirmative UDT physics.	pinned-by-THEORY	Negative/provenance use only.
P11	A local or off-shell metric witness is not an on-shell solution.	pinned-by-THEORY	Required distinction for G03.
P12	A global pair module does not select one exchange lift.	pinned-by-THEORY	Latest verified result; each branch must supply its actual lift.
P13	No density, carrier, action, source, or boundary value is fitted for this audit.	free-and-explored	No new parameter scan is performed.
P14	Repository evidence at the frozen base is the complete search universe for this bounded audit.	CHOSE	Maximum conclusion is repository-bounded, not a theorem over unknown mathematics.
