family_id	load_bearing_evidence	adjudication
B01	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:2-11	Reciprocal kinematics is founded/derived while full metric fields and variation domain remain open.
B02	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md:20-33	Conditional C2 and EH do not supply a complete action boundary source solution or charge.
B03	udt_canonical_geometry_evaluator_p01_2026-07-21/STATUS_LEDGER.tsv:13-16	Local evaluator explicitly leaves reciprocal selection action boundary and solution space open.
B04	udt_local_jet_atlas_p02_2026-07-21/STATUS_LEDGER.tsv:16-17	Point-local jets contain no action and do not explore global solutions.
B05	udt_founded_constraint_atlas_p03_2026-07-21/AUDIT_REPORT.md:19-24;77-80	No unconditional founded premise removes a local stratum; dynamics and bootstrap predicate are absent.
B06	udt_global_kinematic_assembly_p03g_2026-07-21/AUDIT_REPORT.md:71-90;107-148	Twelve independent global axes retain multiple lifts and cap witnesses; witnesses are not universes.
B07	udt_dynamics_branch_ruling_p04_2026-07-21/AUTHORITY_AND_STOP_LEDGER.tsv:2-9	No dynamics derived; C2/EH conditional; bridge boundary source carrier and mass open.
B08	udt_full_equation_variation_p05_2026-07-21/AUDIT_REPORT.md:12-27;64-75	Bulk equations exact only in conditional lanes; no solution and boundary/extra-field channels open.
B09	udt_time_live_characteristic_flux_audit_2026-07-21/STATUS_LEDGER.tsv:2-18	Conditional principal/boundary structures do not select a complete polarization or solution.
B10	udt_free_global_seal_transversality_audit_2026-07-21/STATUS_LEDGER.tsv:2-20	Varied-seal branches remain conditional/open and do not supply a unique global boundary join.
B11	udt_finite_cell_completion_atlas_2026-07-21/AUDIT_REPORT.md:99-115;124-156	Completion axes are kinematic; all 21 dynamics pairs remain unsolved and no field equations were solved.
B12	udt_complete_seal_fixed_set_selector_audit_2026-07-21/AUDIT_REPORT.md:7-46	Scalar seal data leave four complete lift classes; reflection/Hopf lift is not selected.
B13	complete_coframe_seal_involution_2026-07-20/STATUS_LEDGER.tsv:10-24	Exact local involutions coexist with open tangents caps topology action carrier and complete lift.
B14	udt_complete_lift_mu_closure_audit_2026-07-20/STATUS_LEDGER.tsv:2-16	Every lift/cap construction is conditional or open and global completion is absent.
B15	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md:93-151	Transition group and corner reductions do not select the cover lift topology or boundary polarization.
B16	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md:141-210;237-239	Twelve completion families are parametric; quotient selection and deformation gate fail.
B17	udt_complete_connector_assembly_audit_2026-07-22/AUDIT_REPORT.md:13-29;132-159	No complete global connector exists; the conditional toric control is not a selected universe.
B18	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md:10-41;88-139	Integral torus opposing caps and exchange give conditional S3/Hopf uniqueness only after supplied premises.
B19	c2_nonlinear_stationary_solution_space_2026-07-20/STATUS_LEDGER.tsv:2-25	Conditional metric-only C2 round branch passes Bach but action coframe physical boundary and completeness remain open.
B20	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md:150-209	Exact Kasner is an EH/Bach conditional comparison witness not a complete finite-cell UDT universe.
B21	simple_metric_SNe_shape_clue_results.md:6-27;87-120	SNe rank supplied elegant profiles; theory still must derive the winner and no EOM solution is claimed.
B22	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md:19-22;134-140	Full 3D Hopfion and finite-box stability remain carrier/action/boundary conditional.
B23	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md:8-17;83-100	CSN gives an identity for a chosen action and bootstrap filters after solutions; no selector exists.
B24	udt_reciprocal_pair_global_module_audit_2026-07-24/AUDIT_REPORT.md:56-81;96-115	Four exchange lifts survive; involutive lift and FC04 caps remain separately supplied.
B25	udt_timelive_spherical_areal_polarization_audit_2026-07-22/AUDIT_REPORT.md:9-17;109-165	Spherical time-live family is complete only kinematically and explicitly uses no action/EOM.
B26	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md:38-48	Pre-July material has negative/counterexample use only and no affirmative authority.
B27	udt_angular_generator_branch_census_2026-07-23/AUDIT_REPORT.md:253-270	Completion families are not solved universes; zero complete on-shell branch witnesses exist.
B28	udt_hopf_realization_deformation_audit_2026-07-23/AUDIT_REPORT.md:175-208;217-225	FC04 supplies only a restricted conditional seed and no native full carrier deformation.
