family_id	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	primary_blocker
B01	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	YES	YES	Foundation does not select fields action solution exchange caps or boundary completion.
B02	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	YES	YES	Final adjudication leaves complete action source boundary and solution open.
B03	NO	NO	NO	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	YES	YES	Local geometry evaluator has no action EOM or global branch.
B04	NO	NO	NO	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	YES	YES	Point-local jet atlas does not establish any global on-shell completion.
B05	NO	NO	NO	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	YES	YES	Founded constraints delete no local stratum and supply no dynamics or global solution.
B06	NO	NO	NO	CONDITIONAL	CONDITIONAL	CONDITIONAL	OPEN	CONDITIONAL	OPEN	OPEN	YES	YES	Global assembly witnesses keep cocycle lift cap and solution axes independent.
B07	NO	CONDITIONAL	NO	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	YES	YES	Only conditional dynamics lanes are authorized and no dynamics is natively derived.
B08	CONDITIONAL	CONDITIONAL	NO	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	YES	YES	Conditional bulk operators are exact but boundary extra fields and global solutions remain open.
B09	CONDITIONAL	CONDITIONAL	NO	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	YES	YES	Characteristic and flux results are action-conditional and do not supply a solution or boundary functional.
B10	NO	CONDITIONAL	NO	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	YES	YES	Seal transversality classifies variation channels without selecting action boundary or solution.
B11	NO	NO	NO	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	YES	YES	Completion families and witnesses are parametric kinematics not solved selected universes.
B12	NO	NO	NO	OPEN	OPEN	CONDITIONAL	OPEN	OPEN	OPEN	OPEN	YES	YES	Four exact involutive lift classes survive and the physical lift remains open.
B13	NO	NO	NO	OPEN	OPEN	CONDITIONAL	CONDITIONAL	OPEN	OPEN	OPEN	YES	YES	Exact local coframe involutions do not select angular global or boundary completion.
B14	NO	NO	NO	CONDITIONAL	OPEN	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	OPEN	YES	YES	Registered lifts and caps remain multiple and unselected with global completion open.
B15	NO	NO	NO	CONDITIONAL	OPEN	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	OPEN	YES	YES	Transition algebra constrains cocycles but no cover lift cap topology or boundary is selected.
B16	NO	NO	NO	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	YES	YES	Twelve completion classes are a bounded taxonomy and global quotient selection fails.
B17	NO	NO	NO	CONDITIONAL	OPEN	OPEN	CONDITIONAL	CONDITIONAL	OPEN	OPEN	YES	YES	No complete global connector is selected and control branches require unsupplied global data.
B18	NO	NO	NO	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	YES	YES	S3 and free Hopf action are unique only after all torus exchange and opposing-cap premises are supplied.
B19	YES	CONDITIONAL	CONDITIONAL	CONDITIONAL	OPEN	CONDITIONAL	OPEN	CONDITIONAL	OPEN	CONDITIONAL	YES	YES	Strongest near-pass: full Bach round solution is conditional metric-only and coframe-lift blind with physical boundary open.
B20	YES	CONDITIONAL	CONDITIONAL	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	YES	YES	Exact EH comparison solutions remain conditional and lack finite-cell exchange cap and boundary completion.
B21	NO	NO	NO	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	YES	YES	Macro supplied-profile and SNe evidence are observational readouts not native EOM solutions.
B22	NO	CONDITIONAL	CONDITIONAL	CONDITIONAL	OPEN	OPEN	OPEN	OPEN	OPEN	CONDITIONAL	YES	YES	Finite-box Hopfion is conditional on the posited carrier action and solver boundary.
B23	NO	NO	NO	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	YES	YES	Bootstrap is after-solution admissibility and supplies no local operator or boundary selector.
B24	NO	NO	NO	CONDITIONAL	OPEN	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	YES	YES	Pair geometry does not select one global lift and its FC04 Hopf chain remains supplied-conditional.
B25	NO	NO	NO	NO	NO	NO	OPEN	NO	NO	OPEN	YES	YES	Time-live spherical work is kinematic with no action EOM angular exchange or complete boundary.
B26	OPEN	NO	NO	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	OPEN	NO	YES	Pre-July material cannot supply affirmative UDT physics under the provenance firewall.
B27	NO	NO	NO	CONDITIONAL	OPEN	CONDITIONAL	CONDITIONAL	CONDITIONAL	OPEN	OPEN	YES	YES	Intrinsic and Cartan objects are branch diagnostics without a selected global on-shell completion.
B28	NO	NO	NO	CONDITIONAL	OPEN	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	CONDITIONAL	YES	YES	Only a restricted conditional Hopf seed/deformation exists; native section action and completion are open.
