family_id	yes	conditional	open	no	not_applicable	passes_all	primary_blocker
B01	2	0	10	0	0	NO	Foundation does not select fields action solution exchange caps or boundary completion.
B02	2	0	10	0	0	NO	Final adjudication leaves complete action source boundary and solution open.
B03	2	0	7	3	0	NO	Local geometry evaluator has no action EOM or global branch.
B04	2	0	7	3	0	NO	Point-local jet atlas does not establish any global on-shell completion.
B05	2	0	7	3	0	NO	Founded constraints delete no local stratum and supply no dynamics or global solution.
B06	2	4	3	3	0	NO	Global assembly witnesses keep cocycle lift cap and solution axes independent.
B07	2	1	7	2	0	NO	Only conditional dynamics lanes are authorized and no dynamics is natively derived.
B08	2	2	7	1	0	NO	Conditional bulk operators are exact but boundary extra fields and global solutions remain open.
B09	2	2	7	1	0	NO	Characteristic and flux results are action-conditional and do not supply a solution or boundary functional.
B10	2	1	7	2	0	NO	Seal transversality classifies variation channels without selecting action boundary or solution.
B11	2	7	0	3	0	NO	Completion families and witnesses are parametric kinematics not solved selected universes.
B12	2	1	6	3	0	NO	Four exact involutive lift classes survive and the physical lift remains open.
B13	2	2	5	3	0	NO	Exact local coframe involutions do not select angular global or boundary completion.
B14	2	5	2	3	0	NO	Registered lifts and caps remain multiple and unselected with global completion open.
B15	2	5	2	3	0	NO	Transition algebra constrains cocycles but no cover lift cap topology or boundary is selected.
B16	2	7	0	3	0	NO	Twelve completion classes are a bounded taxonomy and global quotient selection fails.
B17	2	3	4	3	0	NO	No complete global connector is selected and control branches require unsupplied global data.
B18	2	7	0	3	0	NO	S3 and free Hopf action are unique only after all torus exchange and opposing-cap premises are supplied.
B19	3	6	3	0	0	NO	Strongest near-pass: full Bach round solution is conditional metric-only and coframe-lift blind with physical boundary open.
B20	3	2	7	0	0	NO	Exact EH comparison solutions remain conditional and lack finite-cell exchange cap and boundary completion.
B21	2	0	7	3	0	NO	Macro supplied-profile and SNe evidence are observational readouts not native EOM solutions.
B22	2	4	5	1	0	NO	Finite-box Hopfion is conditional on the posited carrier action and solver boundary.
B23	2	0	7	3	0	NO	Bootstrap is after-solution admissibility and supplies no local operator or boundary selector.
B24	2	6	1	3	0	NO	Pair geometry does not select one global lift and its FC04 Hopf chain remains supplied-conditional.
B25	2	0	2	8	0	NO	Time-live spherical work is kinematic with no action EOM angular exchange or complete boundary.
B26	1	0	8	3	0	NO	Pre-July material cannot supply affirmative UDT physics under the provenance firewall.
B27	2	4	3	3	0	NO	Intrinsic and Cartan objects are branch diagnostics without a selected global on-shell completion.
B28	2	6	1	3	0	NO	Only a restricted conditional Hopf seed/deformation exists; native section action and completion are open.
