item	status	note
full_4d_primary_residual	DERIVED_CONDITIONAL	direct complete static-spherical tensor calculation
vacuum_Einstein_use	IMPORTED_COMPARISON_ONLY	W3 quiet-regime diagnostic not UDT parent law
isolated_2d_Einstein	IDENTITY_ZERO	vacuous for every two-metric and cannot select f
areal_S2_contribution	DERIVED_CONDITIONAL	unit-curvature term is indispensable to E0
flat_screen_control	HOSTILE_CORRUPTION	k0 changes E0 and rejects f=1+C/r
G201_G257_join	DERIVED_CONDITIONAL	A_parallel+A_perp=E1-E0 for arbitrary positive f
vacuum_angular_modes	DERIVED_CONDITIONAL	3C/(2r) and -3C/(2r) individually nonzero for C nonzero
trace_balanced_family	DERIVED_CONDITIONAL	f=1+a*r^2+b/r
trace_balance_implies_vacuum	FALSE	a nonzero leaves E0=E1=3*a*r^2
mass_aspect_join	DERIVED_CONDITIONAL	A_sum=2*mu_prime-r*mu_doubleprime
nonradial_pair_gram	DERIVED_CONDITIONAL	angular entries retained before terminal readout
global_UDT_parent_law	OPEN	G260 does not select it
source_history	OPEN	mu values and derivatives not supplied
nonspherical_timelive_loud_extension	OPEN	outside bounded audit
fresh_external_review	ACCEPT_WITH_REPAIRS	bounded science accepted; production replay portability repair required
R1_dependency_free_production_replay	EXTERNALLY_ACCEPTED	standard-library exact replay reproduces prior result byte-for-byte
external_repair_followup	ACCEPT_REPAIR	R1 accepted; bounded scientific landing unchanged; no remaining defect
