id	path	authority	role	scale_information	current_ruling
R01	CANON.md	CANON_CURRENT	WR-L profile and common-scale scope	Selects reciprocal profile in scoped simple metric; explicitly leaves absolute X/common ruler free	AFFIRMATIVE_SCOPED_PROFILE_ONLY
R02	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	FOUNDING_LOCKED	Pre-scale equivalence	Declares common positive scaling calibrational and demands downstream emergence	AFFIRMATIVE_NEUTRALITY_NOT_SELECTOR
R03	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	OWNER_WORKING	Whole-solution admissibility	Names density center/width and global closure but supplies neither values nor off-shell functional	WORKING_TARGET_NOT_EQUATION
R04	UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	OWNER_WORKING	Global maximum output	Requires noncircular closure; formula origin normalization and value remain open	WORKING_GLOBAL_OUTPUT
R05	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	CURRENT_FRONTIER	Cumulative status overlay	Records scale/profile/action/source/boundary/mass distinctions	CURRENT_NAVIGATION_AUTHORITY
R06	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	CURRENT_CORRECTION	Owner-meaning reset	Xmax is derived global output; c_E/G_obs calibrate but do not select scale	AFFIRMATIVE_CORRECTION
R07	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv	OWNER_CLARIFICATION	Exact premise meanings	Separates measured anchors signed phi nonnegative distance and global Xmax	AFFIRMATIVE_PREMISE_BOUNDARY
R08	udt_premise_reset_audit_2026-07-19/PACKAGE_REGRADE.tsv	CURRENT_CORRECTION	Prior-package authority	Withdraws physical Xmax-frame interpretations while preserving conditional algebra	CONDITIONAL_MATH_ONLY_FOR_FRAME_CHAIN
R09	udt_premise_reset_audit_2026-07-19/POST_PREREG_C_G_SCALE_CLARIFICATION.md	OWNER_CLARIFICATION	Observed-scale layer	Accepts c_E and G_obs but leaves native mass/Xmax closure open	AFFIRMATIVE_CALIBRATION_ONLY
R10	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	CURRENT_EVIDENCE	Boundary limits and scale join	Shows WR-L wall quantities and dimensional insufficiency of c_E/G_obs	AFFIRMATIVE_SCOPED_LIMITS
