premise_id	item	status	role_or_scope	forbidden_promotion
P01	complete coframe E=[[B,0],[QS,Q]]	CONDITIONAL	supplied regular local metric chart	physical history or dynamics
P02	complete pair realization J=[Y;Zeta]	CONDITIONAL	supplied observer-source relation	metric-selected query
P03	G102 one-source evaluator K1	DERIVED_CONDITIONAL	maps a supplied complete relation to (Z,n)	physical source or history law
P04	G103 local zero and first-jet surjection	DERIVED_SOURCE_BOUNDED	prevents hidden local selector claims	global no-go
P05	factorial null source lambda2=lambda tensor lambda	POSIT_WORKING_OBSERVATIONAL_BASELINE	no intrinsic BAO-like source correlation	UDT-derived source law
P06	smooth positive lambda	FREE_AND_EXPLORED	ordinary source one-point population	uniform physical universe
P07	survey random catalog	OBSERVED_HASH_PINNED	mask completeness and frozen selection only	physical UDT one-point response
P08	K2 complete two-source operator	OPEN_TARGET	possible connected kaleidoscope owner	assumed product or assumed connection
P09	G99 phi_pair=log(1+z)	OBSERVED_CONDITIONAL	middle-regime endpoint coordinate only	complete history or Xmax
P10	BOSS R2-R5 outcomes	SEALED_EXCLUDED	no outcome read during derivation	calibration target
P11	CMB	SEALED_EXCLUDED	reserved later consilience	mode selection or tuning
P12	Lambda-CDM acoustic scale ruler	EXCLUDED	no interpretation or distance import	UDT derivation
P13	global branches holonomy criticality	OPEN	candidate nonfactorizing geometric home	derived multiplicity or weights
P14	bootstrap source matter action	OPEN_INACTIVE	future possible joint owner	current response mode
P15	X_max	OPEN_EXCLUDED	no value or realization used	feature scale or wall
P16	coefficient budget	CHOSE_PREREGISTERED	maximum two primary plus two nested native-mode amplitudes	arbitrary curve-fitting freedom
