path	root_requirement	reason	release_gate	source_basis
.gitattributes	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	CONTROL
.gitignore	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	CONTROL
AGENTS.md	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	CONTROL
CANON.md	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	STARTUP_REFERENCE;CONTROL
CLAUDE.md	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	STARTUP_REFERENCE;CONTROL
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	ROOT_CONTROL_UNTIL_GOVERNANCE_MIGRATION	current control-plane file referenced by governance or tooling	explicit governance-path migration plus startup/test verification	STARTUP_REFERENCE;CONTROL
CROSS_MODEL_VERIFY.md	ROOT_CONTROL_UNTIL_GOVERNANCE_MIGRATION	current control-plane file referenced by governance or tooling	explicit governance-path migration plus startup/test verification	CONTROL
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	STARTUP_REFERENCE;CONTROL
H4_N4rev_sign_certification_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
HANDOFF.md	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	STARTUP_REFERENCE;CONTROL
HANDOFF_ARCHIVE.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
HYGIENE_HEADER_TEMPLATE.md	ROOT_CONTROL_UNTIL_GOVERNANCE_MIGRATION	current control-plane file referenced by governance or tooling	explicit governance-path migration plus startup/test verification	PYTHON_OR_TEST_IMPORT;CONTROL
INDEX.md	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	STARTUP_REFERENCE;CONTROL
LIVE.md	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	STARTUP_REFERENCE;CONTROL
MEMORY.md	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	STARTUP_REFERENCE;CONTROL
NEGATIVES_REGISTRY.md	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	STARTUP_REFERENCE;CONTROL
PROBLEM_STATEMENT.md	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	CONTROL
PROVENANCE.md	PERMANENT_ROOT	startup, canon, provenance, test configuration, or repository control contract	none; remains root	CONTROL
README.md	PERMANENT_ROOT	concise public navigation entry added by R0	none; remains root	R0 user requirement
SIMPLE_METRIC_MACRO.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
STATE.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
STRUCTURE_HYGIENE.md	ROOT_CONTROL_UNTIL_GOVERNANCE_MIGRATION	current control-plane file referenced by governance or tooling	explicit governance-path migration plus startup/test verification	STARTUP_REFERENCE;PYTHON_OR_TEST_IMPORT;CONTROL
UDT_DOTTED_LINE.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_ELEGANCE_UNCOVER.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_ELEGANT_FRAME.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_GR_TO_UDT_SELECTOR_AUDIT_PREREG_2026-07-18.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_H3_BOUNDARY_AUDIT_PATCH_THEN_F_DISPATCH.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_H3_BOUNDARY_VIRIAL_CLOSURE_BEFORE_F_DISPATCH.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_H3_CORRECTED_G_THEN_F_SEQUENCING_DISPATCH.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_METHOD_MUSIC.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_NATIVE_ACTION_COLD_PACKET.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
UDT_NATURE_LEAN_FRAME.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
artifact_manifest.json	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
b1prime_3d_offround_residual.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
branch_operator.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
cascade_bv14_lib.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
cascade_bv6_lib.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
cascade_stageA_lib.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
cascade_stageB_common.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
cascade_stageC_lib.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
cell_solver_composite.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
cell_solver_f2d.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
cell_solver_f2d_N2.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
cell_solver_f2d_embedded_run.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
cell_solver_f2d_first_build.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
cell_solver_universe_T3.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
dimension_ladder_null_audit.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
e2d_continuation_driver.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
e2e_physinformed_seed.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
einstein_3d_eval.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
einstein_3d_general_eval.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
einstein_3d_general_gen.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
einstein_3d_weyl_gen.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
free_s2_matter.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
full3d_newton.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
full3d_spectral.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
galerkin_basis.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
hopfion_GP_exterior_NEXT_CHARTER.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
hopfion_GP_exterior_probe_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
hopfion_GP_switch_apply_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
hopfion_GP_switch_apply_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
hopfion_WORKSTATION_DISPATCH_GP_switch.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
hopfion_WORKSTATION_DISPATCH_phase2_metric.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
hopfion_fixedQ_collective_phase0_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
hopfion_fixedQ_isorotation_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
hopfion_fixedQ_phase1_isorotation_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
hopfion_fixedQ_phase1b_production_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
hopfion_mass_background_coupling_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
hopfion_phase2_metric_backreaction_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
hopfion_static_mass_common.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
legacy_hadron_survivor_filter.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
lorentz_light_clue_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
macro_sector_MAP.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
macro_spine_provenance_2026-07-06.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
mass_emergence_canonical_geometry.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
matter_carrier_provenance_audit_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
n4rev_response_TURNKEY.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
n5d_conditioning_diag.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
n5d_pilot.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
n5d_pilot_fix3.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
n5d_shear.py	ROOT_PINNED_UNTIL_IMPORT_MIGRATION	resolved Python/test import currently depends on root module resolution	package/import migration with existing tests at baseline or better	PYTHON_OR_TEST_IMPORT
negative_phi_native_geometry.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_F_postreturn_audit.json	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_behavioral_F.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_behavioral_F_results.md	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
noNull_boundary_virial.py	ROOT_PINNED_UNTIL_POINTER_MIGRATION	statically resolved startup/frontier reference	rewrite every startup/reference edge and re-run dependency verifier	STARTUP_REFERENCE
