path	status	kind	object_type	size_bytes_lstat	mode_lstat	original_path	content_sha256	firewall
UDT_WORKSTATION_TRANSFER_2026-07-17.zip	??	UNTRACKED	regular_file	404285	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
noNull_nk_out.json	.M	TRACKED_DIRTY	regular_file	7001	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
noNull_nk_traj.json	.M	TRACKED_DIRTY	regular_file	5906	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
noNull_resolve_out.json	.M	TRACKED_DIRTY	regular_file	2649	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/ckpt_correctness.txt	??	UNTRACKED	regular_file	616	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/controlled.stdout	??	UNTRACKED	regular_file	0	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/e2e_tb.txt	??	UNTRACKED	regular_file	1588	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/hess128.stdout	??	UNTRACKED	regular_file	981	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/hess_256_bs8_production.stdout	??	UNTRACKED	regular_file	19169	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/hess_bs10.stdout	??	UNTRACKED	regular_file	2022	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/hess_bs8.stdout	??	UNTRACKED	regular_file	688	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/hess_bw2_full.stdout	??	UNTRACKED	regular_file	6380	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/hess_p3.stdout	??	UNTRACKED	regular_file	1401	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/hess_p4.stdout	??	UNTRACKED	regular_file	1862	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/hess_pstream2.stdout	??	UNTRACKED	regular_file	1739	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/hess_pstream_smoke.stdout	??	UNTRACKED	regular_file	1739	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/hess_smoke.stdout	??	UNTRACKED	regular_file	1790	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/hess_smoke2.stdout	??	UNTRACKED	regular_file	410	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/long_relax_256.stdout	??	UNTRACKED	regular_file	0	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/memdiag.py	??	UNTRACKED	regular_file	1190	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/memdiag2.py	??	UNTRACKED	regular_file	2698	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/memdiag3.py	??	UNTRACKED	regular_file	1842	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/memprobe_ckpt.txt	??	UNTRACKED	regular_file	353	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/memprobe_hess.py	??	UNTRACKED	regular_file	1842	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/memprobe_out.txt	??	UNTRACKED	regular_file	354	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/memprobe_out2.txt	??	UNTRACKED	regular_file	291	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/nk128_relax.stdout	??	UNTRACKED	regular_file	775	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
scratchpad/nk192_relax.stdout	??	UNTRACKED	regular_file	639	0664		NOT_READ	STATUS_AND_LSTAT_ONLY
