id	claim	status	basis_or_limit
S01	Reciprocal_clock_ruler_kinematics_is_available_as_local_metric_content	DERIVED_WITH_FROZEN_PREMISE_STAMPS	C01;no_global_strengthening
S02	CSN_defines_a_positive_local_common_scale_equivalence	FOUNDING	C02;not_a_global_integral_or_physical_section
S03	UDT_uses_finite_mirrored_domains_without_spatial_infinity	CANONIZED_DOMAIN_ONTOLOGY	C03;complete_manifold_and_Xmax_join_open
S04	The_static_spatial_seal_supplies_complete_boundary_data	REFUTED_IMPLICATION	C04;K02;K03;only_phi_zero_and_delta_phi_zero_are_fixed_while_normal_phi_prime_is_free
S05	Co_presence_is_a_whole_solution_reading	WORKING_INTERPRETATION	C06;K05;it_adds_no_field_equation_or_causal_comparability
S06	Positive_CSN_rescaling_preserves_local_null_cones	DERIVED_CONDITIONAL_IN_CONFORMAL_METRIC	C07;physical_signal_law_and_calibration_open
S07	Current_bootstrap_is_primarily_after_solution_global_admissibility	WORKING	C08;K04;off_shell_placement_not_selected
S08	Existing_rules_define_the_complete_global_metric_object	NOT_DERIVED	J01;J02;J03;J05
S09	Existing_rules_define_the_admissible_global_variation_domain	NOT_DERIVED	J04;multiple_boundary_polarizations_and_variation_artifacts_survive
S10	Finite_cell_or_angular_completion_is_the_only_smallest_open_join	NOT_EARNED	J01_through_J05_are_interdependent_and_none_is_selected
S11	Bootstrap_selection_is_the_only_smallest_open_join	NOT_EARNED	The_geometry_and_variation_space_on_which_it_would_act_are_not_complete
S12	One_global_completion_map_is_the_mathematical_type_that_could_join_the_first_layer	OPEN_TARGET_NOT_ADOPTED_PREMISE	CLOSURE_SKELETON.md;the_current_evidence_does_not_prove_that_one_map_exists_or_is_unique
S13	The_projective_Xmax_frame_closes_the_global_metric	NOT_DERIVED	C12;K06;K08;absolute_seal_join_angular_geometry_and_action_remain_open
S14	c_and_G_close_absolute_scale_Mtot_and_Xmax	REFUTED_AS_SUFFICIENT	C13;K07;one_common_homothety_survives
S15	The_current_foundation_selects_pre_scale_C2_or_post_scale_EH_unconditionally	NOT_DERIVED	C09_is_UNIQUE_CONDITIONAL;C10_is_CONDITIONAL;J08_open
S16	A_complete_native_action_and_boundary_charge_follow	OPEN	J04;J07;J08
S17	A_native_matter_carrier_source_and_unconditional_mass_follow	OPEN	C16;J09
S18	A_new_foundational_premise_is proven necessary	NOT_EARNED	A_missing_derived_joining_theorem_or_map_is_required_but_may_still_follow_from_the_metric
S19	Existing_rules_constrain_but_do_not_close_global_reciprocal_variation	VERIFIED_WITH_CAVEATS	16_scoped_clauses;9_open_joins;9_implication_specific_counterwitnesses;22_pinned_sources
S20	Co_presence_changes_interpretation_not_field_content	VERIFIED_WITH_CAVEATS	C06;C07;K05
S21	Maximum_conclusion	UDT_GLOBAL_RECIPROCAL_CLOSURE_STATUS_CHARACTERIZED	No_action_topology_boundary_carrier_scale_or_canonization_promotion
