clause_id	object	status	source	provided	not_provided	scope
C01	reciprocal_clock_ruler_kinematics	DERIVED_WITH_FROZEN_PREMISE_STAMPS	UDT_NATIVE_ACTION_COLD_PACKET.md;UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	determinant_one_reciprocal_phi_direction_and_exponential_metric_form	global_manifold;action;boundary_polarization;matter	LOCAL_KINEMATICS
C02	common_scale_neutrality	FOUNDING	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	positive_local_common_scale_equivalence_class	physical_section;integral_constraint;action;absolute_scale	PRE_SCALE_EQUIVALENCE
C03	finite_cell	CANONIZED_DOMAIN_ONTOLOGY	CANON.md;UDT_NATIVE_ACTION_COLD_PACKET.md	finite_mirrored_domains_and_no_spatial_infinity	complete_global_manifold;angular_caps;periods;topology;physical_Xmax	DOMAIN_ONTOLOGY
C04	static_spatial_seal	CANONIZED_SCOPED_BOUNDARY_DATA	CANON.md;finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	phi_equals_zero_and_delta_phi_equals_zero_with_normal_derivative_free	complete_induced_metric;normal_jet;time_on_sector;angular_extension;corner_rule	ONE_STATIC_RECIPROCAL_SCALAR
C05	WRL_simple_metric_profile	DERIVED_IN_SCOPED_SIMPLE_METRIC	CANON.md;scale_breaking_closure_census_2026-07-20/AUDIT_REPORT.md	dimensionless_shape_A_equals_one_minus_r_over_X	absolute_X;identity_with_static_seal_or_global_Xmax;native_mass	SCOPED_MACRO_PROFILE
C06	co_presence	WORKING_INTERPRETATION	copresence_causal_accessibility_selector_2026-07-19/DERIVATION_REPORT.md	membership_in_one_whole_solution_domain	field_equation;signal_law;causal_comparability;boundary_rule	ON_SHELL_SEMANTICS
C07	causal_cones	DERIVED_CONDITIONAL_IN_CONFORMAL_METRIC	copresence_causal_accessibility_selector_2026-07-19/DERIVATION_REPORT.md	positive_CSN_rescaling_preserves_null_cones_and_reachability	physical_signal_dynamics;calibrated_interval;wall_causal_character	LOCAL_CONFORMAL_KINEMATICS
C08	global_bootstrap	OWNER_STATED_WORKING_AFTER_SOLUTION_ADMISSIBILITY	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md;bootstrap_variation_selector_2026-07-18/DERIVATION_REPORT.md	matter_bearing_realized_solution_must_be_globally_self_consistent_and_in_narrow_total_proper_density_window	off_shell_functional;fields;variation_domain;selection_map;density_center;response_law	PRIMARY_ON_SHELL_READING
C09	pre_scale_C2_action	UNIQUE_CONDITIONAL	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	metric_only_local_4D_diffeomorphism_and_CSN_invariant_action_in_frozen_class	boundary_completion;physical_scale;matter;bridge	PRE_SCALE_ACTION_CLASS
C10	post_scale_EH_route	CONDITIONAL	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	minimal_post_scale_metric_route_after_physical_representative_selection	representative_selector;native_necessity;matter;bridge	POST_SCALE_ACTION_CLASS
C11	C2_boundary_phase_space	DERIVED_CONDITIONAL	c2_finite_cell_boundary_variation_2026-07-20/AUDIT_REPORT.md	exact_boundary_potential_momenta_and_charge_form_for_bare_C2	selected_polarization;corner_completion;normalization;reference;native_source	CONDITIONAL_ACTION_PHASE_SPACE
C12	Xmax_reciprocity	WORKING_POSIT_PLUS_CONDITIONAL_KINEMATICS	xmax_reciprocity_audit_2026-07-19/STATUS_LEDGER.tsv;xmax_full_frame_realization_2026-07-19/STATUS_LEDGER.tsv	conditional_projective_depth_composition_and_CSN_equivalent_full_frame	unique_positional_law_from_finite_bound;absolute_static_seal_join;physical_value;action	CONDITIONAL_FRAME_FAMILY
C13	observational_c_and_G	OBSERVATIONAL_ANCHORS	scale_breaking_closure_census_2026-07-20/AUDIT_REPORT.md	mass_per_length_calibration_and_clock_ruler_calibration	absolute_length;absolute_mass;Xmax;native_charge	DIMENSIONAL_CALIBRATION
C14	intrinsic_angular_geometry	OPEN	xmax_reciprocity_audit_2026-07-19/STATUS_LEDGER.tsv;c2_transverse_coframe_closure_2026-07-20/AUDIT_REPORT.md	reciprocal_depth_scaling_in_restricted_warp_classes	shape;topology;twist;caps;periods;global_completion	TRANSVERSE_GLOBAL_DATA
C15	complete_seal_involution	MULTIPLE_CONDITIONAL_COMPLETIONS	complete_coframe_seal_involution_2026-07-20/AUDIT_REPORT.md	real_reciprocal_block_inversions_and_multiple_conditional_angular_lifts	source_authorized_physical_slot_map;unique_normal_angular_time_on_lift;boundary_tangents	FULL_COFRAME_BOUNDARY
C16	matter_carrier_and_source	POSIT_AND_OPEN	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md;native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	conditional_S2_carrier_branch_and_full_3D_Hopf_capability	native_carrier_emergence;source;unconditional_mass;global_join	MATTER_LANE
