claim	status	scope
founding owns ordered clock/ruler channel type	POSIT	founding q and dual pairing
reciprocal exponential character on supplied depth	DERIVED	continuous one-parameter reciprocal representation
founding spherical chart supplies local dt/dr realization	CHOSE_CONDITIONAL	founding chart only; not universal covariant selector
regular timelike F owns E_pair=dF(TSigma)	DERIVED_CONDITIONAL	after F is supplied
H_pair=E_pair_perp is unique positive rank two	DERIVED_CONDITIONAL	Lorentzian 4D ambient and timelike F
complete pullback block identity	DERIVED	exact local coframe algebra
reduced orchestra term C^TqC	DERIVED_CONDITIONAL	det(Y)!=0 chart stratum
Gram image equals PSD(2)	DERIVED	pointwise complete solution space
terminal kappa phi beta	DERIVED_CONDITIONAL	A-calibrated Lorentzian pair metric
c_eff_pair/c_E=T_pair/L_pair	DERIVED_CONDITIONAL	geometric pair readout; not local signal speed
curvature selector required for conditional pair evaluation	REFUTED_WITHIN_SCOPE	supplied regular F
physical F or event pairing from founding postulates	OPEN	flat counterfamily prevents promotion
global compatible pair family	OPEN	no integrability or middle-carry law derived
physical history/action/source/matter/bootstrap/X_max/cosmology	OPEN_INACTIVE	not tested
package grade	VERIFIED_WITH_CAVEATS	exact symbolic work; internal Fraction replay; fresh external 200-sample clean replay; realization remains supplied
