axis	coverage	remaining_open
complete_metric	GENERAL_NONBLOCK_G_ON_SUPPLIED_REGULAR_SPLIT	universal_split_selection
depth_flow	T_PHI_EQUALS_ONE_WITH_ACCELERATION_NONAFFINITY_RETAINED	critical_phi_and_physical_threading
screen_transport	FULL_PROJECTED_JACOBI_IDENTITY	split_selection_and_global_screen
leakage_twist_projector_motion	RETAINED_EXACTLY	metric_source_selection
area_shape_twist	EXACT_RANK_TWO_DECOMPOSITION	native_effective_source
CSN	RECIPROCAL_DETERMINANT_NORMALIZED_DIAGNOSTIC_REPRESENTATIVE	coframe_volume_normalization_conditional
c_anchor	SYMBOLIC_PLUS_2_3_299792458	does_not_fix_dimensionless_source
metric_second_jets	EXACT_RANK_THREE_TIDAL_FREEDOM	independent_field_equation
seal_lifts	ALL_FOUR_REGISTERED_TYPES	unique_lift_and_completion
two_seal_conditional	EXACT_MATRIX_FLOW_AND_SELECTION_THEOREM	source_equality_and_two_seal_authority
caps_monodromy_completions	ALL_12_REGISTERED_PARAMETRIC_FAMILIES	complete_onshell_profiles
bootstrap	CURRENT_EXECUTABLE_CONTENT_AUDITED	functional_response_or_normal_equation
complete_onshell_branches	ZERO	OPEN
action_source_carrier_density	NOT_USED	OPEN
GPU	NONE	NOT_AUTHORIZED_OR_NEEDED
