control_id	class	free_data	observation	selector_status
C01_GENERIC_JET	GENERIC_POSITIVE_Q	q_qp_qpp_kappa	Riccati_residual_exact_zero	IDENTITY_ONLY
C02_TARGET_AFFINE	A0_S1_FIXED_AXIS	kappa=0	K_eff=-I_trace_minus2	TARGET_ENCODED_BY_CURVATURE
C03_TARGET_NONAFFINE	A0_S1_FIXED_AXIS	kappa_symbolic	R_T=-I+kappa_J	TARGET_ENCODED_BY_CURVATURE
C04_AREA_PROFILE	COMMON_SCALE_DEFORMATION	w_phi	A_rel_changes	UNMATCHED_ALLOWED
C05_SHAPE_PROFILE	FIXED_AXIS_VARIABLE_SHEAR	u_phi	S_shape_changes	UNMATCHED_ALLOWED
C06_ROTATING_AXIS	ROTATING_SHEAR	u_phi_theta_phi	orientation_and_shape_source_change	UNMATCHED_ALLOWED
C07_TWIST	SCREEN_SKEW_DEFORMATION	omega	trace_equation_contains_minus_omega_squared	COMPLETE_TERM_RETAINED
C08_ACCELERATION	NON_GEODESIC_FLOW	P_nabla_a_P	effective_source_changes	COMPLETE_TERM_RETAINED
C09_LEAKAGE	MOVING_NONINVARIANT_SPLIT	X_Y_U_V	effective_source_changes	COMPLETE_TERM_RETAINED
C10_ENDPOINT_FLAT	THREE_KNOB_BULK_FAMILY	alpha_beta_kappa	same_endpoint_two_jets_different_bulk	BULK_NONUNIQUENESS
C11_SEAL	REGULAR_MIRROR_FIXED_POINT	lift_and_J_amplitude	A_rel_zero_J_zero_or_free	LOCAL_NOT_BULK
C12_TWO_SEAL	BOUNDARY_BOUNDARY	bulk_profiles_and_K_eff	one_integral_balance_not_pointwise_values	CONSTRAINS_NOT_CLOSES
C13_CSN_C2	CSN_NORMALIZED	c=2	minus_det_h_star=4	C_RETAINED
C14_CSN_C3	CSN_NORMALIZED	c=3	minus_det_h_star=9	C_RETAINED
C15_CSN_C299792458	CSN_NORMALIZED	c=299792458	minus_det_h_star=c_squared	C_RETAINED
C16_RECIPROCAL_SOURCE_TWO_SEAL	STRONGEST_CONDITIONAL_CLOSURE	unregistered_K_eff_angular_equals_minus_I	second_seal_A_zero_iff_initial_shape_squared_one	CONDITIONAL_THEOREM_NOT_NATIVE_SELECTOR
C17_N01	NONBLOCK_RATIONAL	cross_rank=2	exact_Schur_congruence_and_determinant	CROSS_TERMS_RETAINED
C18_N02	NONBLOCK_RATIONAL	cross_rank=2	exact_Schur_congruence_and_determinant	CROSS_TERMS_RETAINED
C19_N03	NONBLOCK_RATIONAL	cross_rank=2	exact_Schur_congruence_and_determinant	CROSS_TERMS_RETAINED
