catch_id	mutation	status
C01	raw_Q_used_in_place_of_Schur_q	CAUGHT
C02	nonblock_cross_terms_dropped	CAUGHT
C03	projector_motion_terms_dropped	CAUGHT
C04	leakage_terms_dropped	CAUGHT
C05	acceleration_term_dropped	CAUGHT
C06	twist_term_dropped	CAUGHT
C07	nonaffine_flow_promoted_affine	CAUGHT
C08	Cartan_identity_promoted_field_equation	CAUGHT
C09	Riccati_identity_promoted_selector	CAUGHT
C10	free_q_second_jet_removed	CAUGHT
C11	tidal_trace_set_minus2	CAUGHT
C12	tidal_tracefree_part_set_by_hand	CAUGHT
C13	seal_local_area_promoted_global	CAUGHT
C14	seal_free_shape_amplitude_set_one	CAUGHT
C15	two_seal_integral_promoted_pointwise	CAUGHT
C16	reciprocal_generator_equated_to_angular_source	CAUGHT
C17	CSN_invariance_promoted_value_selection	CAUGHT
C18	c_set_to_one	CAUGHT
C19	cap_topology_used_as_bulk_equation	CAUGHT
C20	monodromy_used_as_rate_normalization	CAUGHT
C21	Bianchi_identity_used_as_dynamics	CAUGHT
C22	bootstrap_equation_invented	CAUGHT
C23	critical_phi_assigned_transport	CAUGHT
C24	external_action_or_source_imported	CAUGHT
C25	complete_onshell_branch_fabricated	CAUGHT
C26	route_missing_or_duplicate	CAUGHT
C27	conditional_source_equality_promoted_native	CAUGHT
