object	status	scope
complete_projected_Jacobi_object	DERIVED_EXACT_IDENTITY	supplied_regular_split_and_phi_flow
CSN_normalized_metric_representative	DERIVED_DIAGNOSTIC_CONDITIONAL_ON_SPLIT	c_explicit_and_det_h_nonzero
area_shape_twist_transport_decomposition	DERIVED_EXACT	rank_two_regular_screen
target_effective_source_equivalence	DERIVED_CONDITIONAL	declared_twistfree_or_general_source_form
independent_curvature_closure	OPEN_NOT_DERIVED	all_current_registered_premises
seal_area_stationarity	DERIVED_LOCAL	regular_fixed_seal
unit_shape_speed	OPEN_NOT_DERIVED	amplitude_and_source_free
bulk_persistence	OPEN_NOT_DERIVED	K_eff_function_unselected
complete_onshell_branches	ZERO_REGISTERED	no_action_or_field_equation
reciprocal_source_equality_two_seal_closure	CONDITIONAL_THEOREM_UNREGISTERED_PREMISE	Delta_K_zero_two_regular_seals_parallel_nonsingular_flow
