join_id	from	to	ruling
J01	complete_nonblock_G_plus_split	Schur_screen_q_and_projector_P	DERIVED_EXACT_CONDITIONAL_ON_SPLIT
J02	G_P_T	projected_Jacobi_object	DERIVED_EXACT_IDENTITY
J03	CSN_plus_c_plus_h	G_star	DERIVED_DIAGNOSTIC_REPRESENTATIVE_CONDITIONAL_ON_SPLIT
J04	projected_Jacobi_object	A_rel_shape_twist_equations	DERIVED_EXACT_DECOMPOSITION
J05	metric_second_jets	K_eff	DERIVED_BUT_FREE_WITHOUT_DYNAMICS
J06	seal	A_rel_zero_at_fixed_point	DERIVED_LOCAL
J07	seal_or_two_seals	unit_shape_and_bulk_persistence	NOT_DERIVED
J08	Reciprocity	angular_K_eff_target	MISSING_TENSOR_JOIN
J09	bootstrap	K_eff_assignment	NOT_AN_EXECUTABLE_EQUATION
J10	target_pair	effective_source_conditions	EQUIVALENCE_DERIVED_NOT_SELECTION
J11	unregistered_Delta_K_zero_plus_two_seals	A_rel_zero_and_S_shape_one_throughout	CONDITIONAL_THEOREM_DERIVED_NOT_NATIVE_SELECTOR
