freedom_id	datum	dimension_or_scope	effect	current_selector
F01	q_second_jet	3_symmetric_components_at_each_regular_point	arbitrary_q_self_adjoint_tidal_change_at_fixed_q_qp	NONE
F02	flow_acceleration_nonaffinity	metric_and_threading_dependent	subtracts_projected_nabla_a_from_K_eff	NONE
F03	screen_twist	one_skew_scalar_in_2D	enters_trace_as_minus_omega_squared	NONE
F04	split_leakage_and_projector_motion	X_Y_U_V_matrix_blocks	adds_XY_UY_XV_to_K_eff	NONE
F05	reciprocal_angular_source_join	one_unregistered_tensor_relation	if_set_to_zero_with_two_regular_seals_closes_unit_shape_conditionally	ABSENT_NOT_INVENTED
F06	seal_shape_amplitude	zero_or_one_free_dimension_by_lift	unit_value_not_forced	MULTIPLE_LIFTS_UNSELECTED
F07	two_seal_bulk_balance	one_integral_relation	does_not_fix_pointwise_shape_or_source	FINITE_CELL_ONLY
F08	CSN_normalized_curvature	metric_second_jet_after_common_scale_removed	still_free_under_relative_metric_deformations	CSN_INVARIANCE_ONLY
F09	bootstrap_response	functional_or_normal_equation_absent	cannot_assign_K_eff	NOT_EXECUTABLE
F10	completion_profiles	all_12_parametric_families	topology_does_not_supply_metric_second_jets	NONE
