route_id	route	ruling	exact_reason	control
R01	COMPLETE_NONBLOCK_SCREEN_GEOMETRY	CONSTRAINS_NOT_CLOSES	Schur_screen_and_projected_deformation_are_exact_but_split_and_metric_jets_remain_free	GENERIC_NONBLOCK_CONTROLS
R02	FULL_CARTAN_CURVATURE_BLOCK	IDENTITY_DEFINES_SOURCE_NOT_LAW	projected_Cartan_Jacobi_equation_contains_curvature_acceleration_projector_motion_and_leakage_from_same_metric	FULL_PROJECTED_IDENTITY
R03	PHI_NORMAL_RICCATI_CONTROL	IDENTITY_DEFINES_SOURCE_NOT_LAW	reduced_Riccati_equation_is_exact_but_q_second_jet_has_rank_three_tidal_freedom	GENERIC_Q_QP_FIXED_QPP_FREE
R04	FULL_CSN_COVARIANCE	CONSTRAINS_NOT_CLOSES	reciprocal_determinant_normalization_gives_CSN_invariant_diagnostic_representative_not_curvature_values	CSN_NORMALIZED_REPRESENTATIVE
R05	RECIPROCAL_ANGULAR_RELATIVE_JACOBI	CONSTRAINS_NOT_CLOSES	founded_reciprocal_generator_supplies_comparison_target_but_no_registered_equality_of_angular_and_reciprocal_tidal_sources	SOURCE_JOIN_ABSENT
R06	ONE_AND_TWO_SEAL_BOUNDARY_PROPAGATION	CONSTRAINS_NOT_CLOSES	seal_forces_A_rel_zero_locally_but_J_amplitude_and_K_eff_remain_free_and_two_seals_give_only_integrated_relation	BOUNDARY_PROPAGATION_ATLAS
R07	CAP_MONODROMY_GLOBAL_COMPLETION	CONSTRAINS_NOT_CLOSES	caps_and_monodromy_restrict_rank_and_descent_without_supplying_bulk_profile_or_source	PARENT_COMPLETION_CENSUS
R08	CARTAN_BIANCHI_HOLONOMY	IDENTITY_DEFINES_SOURCE_NOT_LAW	Bianchi_and_holonomy_constrain_metric_derived_curvature_consistency_not_its_target_value	ENDPOINT_FLAT_COUNTERMETRICS
R09	FINITE_CELL_INTEGRATED_IDENTITIES	IDENTITY_DEFINES_SOURCE_NOT_LAW	two_seal_trace_integral_balances_shape_twist_area_and_source_but_does_not_fix_any_term_pointwise	TWO_SEAL_INTEGRAL
R10	BOOTSTRAP_EXECUTABLE_CONTENT	NOT_AN_EXECUTABLE_EQUATION	current_bootstrap_has_no_functional_response_map_normal_equation_or_source_assignment	SOURCE_AUDIT
R11	C_ANCHOR	CONSTRAINS_NOT_CLOSES	c_fixes_clock_ruler_conversion_and_CSN_normalizer_but_not_dimensionless_K_eff_trace_or_shape_amplitude	SYMBOLIC_C_AND_THREE_CONTROLS
R12	TWELVE_COMPLETION_CROSSCHECK	CONSTRAINS_NOT_CLOSES	all_twelve_registered_completions_are_parametric_and_none_adds_an_independent_Jacobi_source	PARENT_TWELVE_FAMILY_CENSUS
