premise_id	object	status	role	not_allowed
P01	complete_metric	DERIVED_DATA_PER_REPRESENTATIVE	supplies_G_and_Levi_Civita_connection	field_equation
P02	reciprocal_angular_split	CONDITIONAL_WHERE_SUPPLIED	defines_h_C_Q_and_orthogonal_screen	universal_physical_split
P03	Schur_angular_metric	DERIVED_EXACT	q=Q-Ct_hinv_C	raw_Q_as_invariant
P04	phi_depth	FOUNDING_PLUS_DERIVED	dimensionless_reciprocal_imbalance	phi_dynamics
P05	depth_flow	CONDITIONAL_WHERE_DPHI_NONZERO	T_phi_equals_one	value_at_critical_phi
P06	flow_acceleration_nonaffinity	FREE_AND_EXPLORED	retain_complete_transport_terms	set_zero_universally
P07	normal_bundle_leakage_twist	FREE_AND_EXPLORED	retain_complete_split_geometry	set_zero_universally
P08	geodesic_projectable_control	PINNED_BY_HABIT_CONDITIONAL_CONTROL	exact_reduced_Riccati_check	promote_to_full_metric
P09	relative_area_and_shape	DERIVED_DIAGNOSTICS	test_transport_and_values	target_values_assumed
P10	Reciprocity	PINNED_BY_THEORY	reciprocal_character_and_phi_scale	angular_curvature_equation
P11	CSN	PINNED_BY_THEORY	full_metric_common_scale_orbit	selected_representative
P12	finite_cell	PINNED_BY_CANON	domain_and_completion	interior_differential_equation
P13	seal_lifts	PINNED_AS_MULTIPLE_REGISTERED	test_local_jets	unique_lift_or_amplitude
P14	caps_monodromy	PINNED_AS_PARAMETRIC_FAMILIES	test_global_constraints	selected_completion
P15	Cartan_Bianchi	DERIVED_IDENTITIES_PER_METRIC	test_identity_vs_independent_law	dynamical_equation
P16	bootstrap	WORKING_ONSHELL_ADMISSIBILITY	audit_current_executable_content	response_functional
P17	c_anchor	OBSERVED_FOUNDING_RETAINED	explicit_clock_ruler_conversion	set_c_to_one
P18	action_source_carrier_density	OPEN_NOT_USED	scope_guard	imported_closure
P19	target_pair	DIAGNOSTIC_ONLY	A_rel_zero_and_S_shape_one	pinned_BC_or_acceptance_filter
P20	complete_onshell_branches	ZERO_REGISTERED	fail_closed_scope	fabricated_universe
