object	parent_reading	corrected_status	correction
compact_Hodge_exact_obstruction	DERIVED_UNIVERSAL_COMPACT_BOUNDARYLESS	COLD_VERIFIED_UNCHANGED	no b1=1 needed; boundaryless Riemannian single-valued scope retained
affine_response_quotient	DERIVED_ONE	COLD_VERIFIED_FORMAL_FREE_CLASS_ONLY	dimension one modulo universally exact combinations before fixed-configuration pullback
fixed_configuration_quotient	implicit_one	MAY_COLLAPSE	sigma=2phi gives lambda=0
alternating_lambda	first_exact_orchestra_motif	AVAILABLE_BOUNDED_ALTERNATING_CANDIDATE	priority withdrawn; no Cartan production
base_loop	constructive_harmonic_witness	COLD_VERIFIED_HARMONIC_WITNESS	phi=sin; sigma=cos; integral lambda=-pi
nontorus_curl	local_curl_witness	COLD_VERIFIED_COEXACT_CAPABILITY	does not itself establish harmonic component
screen_rows	globally_descending_coframe	LOCAL_ROWS_WITH_GLOBAL_TRANSITION	dy,dz flip under diag(1,-1,-1)
upper_right_controls	ownership_correction	MATHEMATICAL_COUNTEREXAMPLES_TO_EXTRAPOLATION	outside selected positive-triangular complete-phi extension
parent_lower_triangular_ownership	conditional_bounded	RETAINED_UNCHANGED	no in-scope contradiction
complete_frame_naturality	OPEN	OPEN_UNCHANGED	sigma remains screen-split relative
native_response_law	OPEN	OPEN_UNCHANGED	availability is not selection
density_gate	CLOSED	CLOSED_UNCHANGED	no rho_tot return equation
