premise	status	active_use	forbidden_promotion
smooth_Lorentz_metric_and_complete_coframe	SUPPLIED	ambient_metric_evaluator	selected_physical_history
smooth_two_parameter_affine_null_variation	SUPPLIED_QUERY	defines_J_and_K	universal_UDT_protocol
future_timelike_boundary_observers	SUPPLIED_QUERY	positive_boundary_frequency	observer_population_law
fixed_boundary_event_pairing	SUPPLIED_QUERY	JA_equals_UA_and_JB_equals_rUB	metric_selected_incidence
Levi_Civita_and_Jacobi_identities	STANDARD_GEOMETRIC_EVALUATOR	variation_and_screen_compatibility	native_action_or_dynamics
completed_pair_Dual_Reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	m_equals_sqrt_minus_det_h	canon_or_metric_derived_premise
G221_clock_chord	DERIVED_CONDITIONAL	boundary_slope_and_frequency	full_pair_plane_by_itself
G188_screen_Jacobi	DERIVED_CONDITIONAL	finite_normal_screen_channel	scalar_clock_chord
vertical_density_closedness	OPEN_TEST	local_density_versus_global_coordinate	automatic_global_ruler_coordinate
Xmax_transfer_observation_action_source_matter	OMITTED	outside_bounded_question	construction_input_or_inference
