control	result	status
longitudinal_Jacobi_field	nabla_K_nabla_K_J_plus_R_JK_K_equals_zero	DERIVED_CONDITIONAL
conserved_area_density	a_equals_minus_g_JK_constant_along_each_ray	DERIVED_CONDITIONAL
boundary_clock_chord	a_equals_WA_equals_rAB_WB	DERIVED_CONDITIONAL
full_pair_plane	det_h_equals_minus_a_squared	DERIVED_CONDITIONAL
completed_ruler_density	m_equals_a	DERIVED_CONDITIONAL_ON_G176
affine_reparameterization	a_dlambda_vertical_density_invariant	DERIVED
global_ruler_coordinate	requires_d_a_dlambda_equals_zero	CONDITIONAL_NOT_GENERIC
flat_nonclosed_witness	c_of_y_dlambda_has_nonzero_curl_with_exact_G221_ratio	EXACT_CONTROL
screen_identification	Kperp_mod_K_isometric_to_span_JK_perp	DERIVED_CONDITIONAL
G188_transport	explicit_connection_and_tidal_intertwining_make_finite_Jacobi_map_normal_screen_channel	DERIVED_CONDITIONAL_SEPARATE
clock_turn	pair_plane_regular_but_T_chart_fails	BOUNDARY_CLASSIFICATION
screen_caustic	does_not_imply_longitudinal_pair_plane_degeneracy	TYPE_SEPARATION
physical_protocol_history_Xmax	unselected	OPEN
