shape	endpoint_x	m00	m01	m02	m10	m11	m12	m20	m21	m22	determinant	column_norm_x	column_norm_a	column_norm_epsilon	normalized_sigma_max	normalized_sigma_mid	normalized_sigma_min	normalized_condition	sigma_ratio	classification
PERSISTENT	0.35	0.003238920106491218	-4.468219844129145e-05	0.002192709400000013	0.0007064223615890346	-6.402375356136127e-06	0.0004158680529580519	-0.05968228922212347	0.0005751903579007782	-0.028434114090514356	7.947826303504497e-11	0.05977428613377479	0.000576958782834418	0.02852156666213668	1.7319467664996795	0.018821638107853478	0.002478699304334413	698.7320985127506	0.0014311636779367905	FULL_RANK_OBSERVED
PERSISTENT	0.5	0.005700970769372274	-0.00028362360094123286	0.010352741185725097	0.0017599047120607433	-6.341628792618976e-05	0.0025922376389397525	-0.09289007077222794	0.0035632600668779723	-0.12413351846765848	2.4897007710741e-09	0.09308148892437361	0.0035750924850683824	0.12459144975958765	1.731970245003386	0.01657390523387225	0.0020919101817812465	827.9371935216768	0.0012078210857353134	FULL_RANK_OBSERVED
PERSISTENT	0.65	0.007280609795904279	-0.000795541590065345	0.02187483565766034	0.002804494065959296	-0.00023777265793272707	0.006617283450658254	-0.10547725861086739	0.00954365775816045	-0.24387929587548282	1.0413723871401934e-08	0.1057654222798265	0.009579709059427653	0.24494776551754313	1.7319861463639727	0.014877401261746758	0.0016284148642567576	1063.6025157842607	0.0009402008599637783	FULL_RANK_OBSERVED
PERSISTENT	0.8	0.008567111977415474	-0.0017041702720701768	0.035869709977454096	0.003838097557281028	-0.0006233468679265327	0.012471331716901428	-0.11137793360917213	0.019291634471019534	-0.3736475385957637	2.2981692936176618e-08	0.11177285222960867	0.019376788129031878	0.3755724341686067	1.7319977501872739	0.013503108278598477	0.0012080616864762299	1433.699760183027	0.000697496106069195	FULL_RANK_OBSERVED
PERSISTENT	0.95	0.009721187235541419	-0.003179638108872682	0.051990709806668145	0.004858556759123754	-0.0013483532948656714	0.020130438572333383	-0.1144326342895391	0.03375971524926748	-0.5081749636216468	3.424367990005654e-08	0.11494753083687131	0.03393591797524849	0.5112240820962739	1.7320066503917722	0.012341705142602041	0.0008033136656532416	2156.0776623703177	0.0004638051854313236	FULL_RANK_OBSERVED
TAPERED	0.35	3.8188544002045634e-05	-5.325464244529648e-06	6.345166498306103e-05	0.000296947341099627	-2.094867335480865e-06	0.00020899076906871696	-0.016284724071708757	0.00023466125355452568	-0.00889495443390811	5.1537127685583914e-12	0.016287475991692814	0.00023473102257340084	0.00889763550819242	1.7319540868478445	0.017617841862875388	0.004965148451233582	348.8222162657682	0.0028667898814050837	FULL_RANK_OBSERVED
TAPERED	0.5	-0.00010373188812675598	-2.0124006064121897e-05	-1.500248950346152e-06	0.00038574253780251455	-1.1559850855074442e-05	0.0008658502463418577	-0.013592172020789507	0.001104376853743959	-0.028617387087861847	7.915914781411154e-11	0.013598040221032507	0.0011046206773627164	0.02863048275241546	1.7318800514413313	0.0239108672441977	0.00444498000029908	389.62606160765677	0.0025665634271841236	FULL_RANK_OBSERVED
TAPERED	0.65	-0.00012836421004045736	-3.138036662167062e-05	-0.00023223456145003826	0.0002823343467790575	-2.389465499104603e-05	0.0014739975692400545	-0.004952449684637254	0.0020883295587690084	-0.0397602283379738	4.053886979401317e-11	0.004962151542693361	0.0020887019959713767	0.039788218849471924	1.7315090382460112	0.043298165874612896	0.0013112224328413074	1320.5303653126025	0.000757271492021522	FULL_RANK_OBSERVED
TAPERED	0.8	-3.6840618320821207e-05	-3.67381536498165e-05	-0.0003929158458987918	0.0001197915624764162	-3.400936339266349e-05	0.0018333295975688836	0.0017891019282509205	0.00276018658117195	-0.04124357395446208	-3.210846523062186e-10	0.00179348625845585	0.002760640558206314	0.041286170478895996	1.7300161717797036	0.08321661604771784	0.010910554260274184	158.56354594915217	0.006306619809831182	FULL_RANK_OBSERVED
TAPERED	0.95	0.00010521590174168577	-3.948807621764149e-05	-0.000336578520352826	-5.5107365557406034e-05	-3.994803285038757e-05	0.001891230734041744	0.00446622760892564	0.0029506185343085188	-0.036929806838766635	-6.904178127754924e-10	0.004467806650074243	0.002951153145551233	0.03697973325942687	1.7315694093693794	0.03155824262395629	0.025912503905753902	66.82370085373658	0.014964750338937313	FULL_RANK_OBSERVED
SIGN_CHANGING	0.35	-0.00029744200496958266	-9.480579346900951e-07	-0.00016849096243858896	0.0003526218241652389	-1.931313118776902e-06	0.0002419551772898356	-0.0049460754698455595	0.0001627287432330978	-0.00428264811408768	8.950706530424882e-13	0.004967542294797893	0.00016274296500443195	0.004292785387291054	1.7308487805460766	0.06447602455603398	0.002311090567219357	748.931610511737	0.001335235401957077	FULL_RANK_OBSERVED
SIGN_CHANGING	0.5	-0.0004091393675791018	4.284098381075528e-06	-0.00093014797207891	0.0005575552781025261	-8.477849387683783e-06	0.0010834291258926775	0.015783882155534175	0.00040769432379228053	3.643085289489251e-06	-8.191496523066519e-11	0.015799025248730794	0.0004078049645132142	0.0014279380913980503	1.4135441724429914	1.0009262062499762	0.006293027450237406	224.62069069628245	0.004451949626279688	FULL_RANK_OBSERVED
SIGN_CHANGING	0.65	0.0005021433122411371	-6.244694533172668e-06	-0.0010710775874442332	0.0007630379416215536	-1.7388369149657508e-05	0.002212032861532752	0.046784082574665216	-0.0007292556046347967	0.036926214950667315	-2.580123643384689e-10	0.04679299901865103	0.0007294896082075194	0.037007913304612464	1.7314512724192856	0.045494707907128534	0.0025928343725405032	667.7832146766784	0.0014974919674855432	FULL_RANK_OBSERVED
SIGN_CHANGING	0.8	0.0028272230987361267	-0.0001778043666708812	0.0015824910141371538	0.001358016006057272	-6.634720517440838e-05	0.003980806909147541	0.08086356796791942	-0.005421296224130772	0.11325404745335453	6.72105265046464e-09	0.08092437223991954	0.005424616953685878	0.11333503591575035	1.7318891597893455	0.023427606652354743	0.0033294820461560793	520.1677425438678	0.0019224567734814238	FULL_RANK_OBSERVED
SIGN_CHANGING	0.95	0.006873335551957283	-0.0008996028999701451	0.009803679723922454	0.0026907927562304095	-0.0003115353676671057	0.007389310792302217	0.11555837690678765	-0.016650814959572158	0.2306540823946023	5.564337743984468e-08	0.11579387540193123	0.01667800882841996	0.23098056146656687	1.7319812538633366	0.014732150886720651	0.004888762239675442	354.2780705936561	0.0028226415434755014	FULL_RANK_OBSERVED
