item	status	role	owner_or_source
G68_saved_21_profile_paths	CHOSE_CONTROL	frozen_geometric_input	udt_cmb_G68_F01_F02_finite_path_jacobi_controls_2026-08-11/FINITE_PATH_SAMPLES.npz
G68_observer_sky_query	CHOSE_CONTROL	common_query_for_all_cells	udt_cmb_G68_F01_F02_finite_path_jacobi_controls_2026-08-11/PREREGISTRATION.md
c_E	OBSERVED	clock_ruler_calibration_unit_convention	CURRENT_SCIENTIFIC_PREMISES.tsv
endpoint_grid_0p30_to_1p00	CHOSE_CONTROL	15_intermediate_surfaces	PREREGISTRATION.md
profile_coefficients	CHOSE_CONTROL	registered_G68_finite_tile	udt_cmb_G68_F01_F02_finite_path_jacobi_controls_2026-08-11/PROFILE_UNIVERSE.tsv
Jacobi_map_D	DERIVED	screen_transfer_on_supplied_query	udt_cmb_G68_F01_F02_finite_path_jacobi_controls_2026-08-11/EXACT_DERIVATION.md
local_sensitivity_rank	OBSERVED	bounded_control_tile_only	PREREGISTRATION.md
covariance_congruence	DERIVED	generic_linear_transfer_identity	PREREGISTRATION.md
three_covariance_examples	CHOSE_CONTROL	algebra_catch_controls	PREREGISTRATION.md
physical_CMB_profile	OPEN	no_selection	udt_cmb_complete_observation_query_map_2026-08-11/QUERY_LAYER_ATLAS.tsv
physical_endpoint_surface	OPEN	no_last_scattering_or_Xmax_selection	udt_cmb_complete_observation_query_map_2026-08-11/QUERY_LAYER_ATLAS.tsv
physical_source_state_covariance	OPEN	required_for_power	udt_cmb_complete_observation_query_map_2026-08-11/OBSERVABLE_CHANNEL_REQUIREMENTS.tsv
P1_SNe_anchor	CONDITIONAL	inactive_low_z_cross_anchor	udt_sne_native_observer_query_replay_2026-08-11/AUDIT_REPORT.md
X_max	WORKING	inactive_pair_asymptotic_guard	CURRENT_SCIENTIFIC_PREMISES.tsv
action_source_bootstrap_dynamics	OPEN	inactive	CURRENT_SCIENTIFIC_PREMISES.tsv
