gate	failure_condition	failure_landing
G01_profile_census	not_exactly_21_unique_saved_profiles	SAVED_FIELD_OR_QUERY_FAILURE
G02_endpoint_census	not_exactly_15_unique_registered_endpoint_surfaces	SAVED_FIELD_OR_QUERY_FAILURE
G03_cell_census	not_exactly_315_unique_profile_endpoint_cells	SAVED_FIELD_OR_QUERY_FAILURE
G04_saved_only	production_invokes_a_new_ODE_solve	SAVED_FIELD_OR_QUERY_FAILURE
G05_endpoint_regression	max_x1_D_relative_error_gt_2e-8	SAVED_FIELD_OR_QUERY_FAILURE
G06_F01_identity	F01_anisotropy_or_rotation_gt_2e-10	SAVED_FIELD_OR_QUERY_FAILURE
G07_map_regularity	any_cell_D_nonfinite_or_singular	SINGULAR_MAPS_BLOCK_GENERIC_COVARIANCE_INVERSION
G08_source_reconstruction	max_covariance_reconstruction_relative_error_gt_2e-10	IDENTIFIABILITY_NUMERICALLY_UNRESOLVED
G09_source_positive	constructed_source_covariance_not_positive_definite	IDENTIFIABILITY_NUMERICALLY_UNRESOLVED
G10_sensitivity_honesty	coarse_rank_promoted_to_theory_or_physical_selection	SAVED_FIELD_OR_QUERY_FAILURE
G11_source_honesty	arbitrary_source_covariance_promoted_to_owned_physics	SAVED_FIELD_OR_QUERY_FAILURE
G12_anchor_honesty	fit_or_observational_anchor_used_in_G69	SAVED_FIELD_OR_QUERY_FAILURE
G13_scope	physical_profile_endpoint_source_spectrum_Xmax_action_bootstrap_or_signal_claimed	SAVED_FIELD_OR_QUERY_FAILURE
G14_independence	independent_verifier_imports_production_atlas_builder	IDENTIFIABILITY_NUMERICALLY_UNRESOLVED
