path	role
LIVE.md	current_frontier_precedence
AGENTS.md	binding_project_rules
CURRENT_SCIENTIFIC_PREMISES.md	current_premise_precedence
CURRENT_SCIENTIFIC_PREMISES.tsv	machine_premise_precedence
verify_current_scientific_premises.py	premise_guard
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founding_pair_derivation
udt_reciprocal_pair_reduction_authority_audit_2026-08-02/AUDIT_REPORT.md	immediate_authority_parent
udt_reciprocal_pair_reduction_authority_audit_2026-08-02/EXACT_ADJUDICATION.md	four_level_authority_ruling
udt_reciprocal_pair_reduction_authority_audit_2026-08-02/STATUS_LEDGER.tsv	parent_machine_status
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/AUDIT_REPORT.md	twisted_family_parent
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/EXACT_DERIVATION.md	coframe_norm_twist_and_open_join
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/PREMISE_LEDGER.tsv	parent_premises
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/STATUS_LEDGER.tsv	parent_status
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/derive_nonultrastatic_branch.py	parent_exact_algebra
udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md	global_general_screen_scope
udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md	Maurer_Cartan_and_screen_algebra
udt_complete_cell_full_gl2_screen_frame_descent_audit_2026-08-02/AUDIT_REPORT.md	conditional_contact_invariant_scope
udt_complete_cell_full_gl2_screen_frame_descent_audit_2026-08-02/FRAME_DESCENT_ATLAS.tsv	frame_classes
udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	local_pair_alignment_and_covariance
udt_complete_coframe_native_selector_audit_2026-07-26/EXACT_DERIVATION.md	full_frame_equivariance_guard
udt_metric_natural_joint_selector_nogo_2026-07-28/EXACT_DERIVATION.md	universal_metric_only_scope_guard

