object	status	exact_scope	open_scope
registered_primary_profile	CHOSE_ANALYTIC_EXISTENCE_WITNESS	u=3+q0^2+2q1^2+4q2^2+8q3^2	field_equation_or_physical_selection
global_profile_range	DERIVED_EXACT	4_le_u_le_11	other_profiles
complete_Lorentzian_configuration	DERIVED_EXPLICIT_WITNESS	lambda_minus1_0_plus1_a_over_R_1	all_real_lambda_and_other_parameters
strict_spacelike_displayed_slice	DERIVED_EXPLICIT_WITNESS	u_squared_minus1_at_least15	other_twist_and_slice_strata
full_continuous_Killing_algebra	DERIVED_ONE_DIMENSIONAL_EXACT_BOUNDED	five_preregistered_nonzero_invariant_Jacobians	generic_family_and_nonanalytic_profiles
stationary_timelike_Killing_line	DERIVED_METRIC_INTRINSIC_ON_WITNESS	unique_line_generated_by_partial_t	time_live_and_other_branches
stationary_depth	DERIVED_BRANCH_CONDITIONAL	Killing_norm_ratio_on_witness	universal_observer_semantics
Killing_twist_ruler_line	DERIVED_METRIC_INTRINSIC_ON_WITNESS	a_kappa_nonzero	orientation_and_ordered_sign
smooth_rank2_reciprocal_bundle	DERIVED_EXPLICIT_COMPLETE_WITNESS	span_unique_K_and_twist_dual	universal_complete_reduction
equivariant_pair_projector	DERIVED_EXPLICIT_COMPLETE_WITNESS	sign_and_scale_independent_tensor	physical branch selection
founded_pair_generator	DERIVED_ON_INTRINSIC_WITNESS_REDUCTION	minus1_plus1_on_clock_ruler	complete_screen_lift_and_lambda
twist_free_control	UNIQUE_CLOCK_CERTIFICATE_FULL_PAIR_BLOCKED	a=0	other_ruler constructions
constant_depth_control	ZERO_INVARIANT_CERTIFICATE_RETAINED	u_constant	no_nonuniqueness_theorem_claimed
slice_null_control	INELIGIBLE_DEGENERATE_STRATUM_RETAINED	a_over_R=4_at_u_min	continuation_or_other_slicing
profile_lambda_twist_S3_stationarity_selection	OPEN_NOT_SELECTED	off_shell_existence_only	native_equation_or_admissibility
universal_physical_reciprocal_reduction	OPEN	one_branch_witness_only	other_branches_and_whole_solution_selection
action_source_boundary_density_bootstrap_carrier_Xmax_matter_mass	OPEN_OR_CONDITIONAL	not_used	complete_physics
overall	VERIFIED_EXPLICIT_COMPLETE_CELL_OFF_SHELL_CONFIGURATION_WITNESS	configuration_level_all_gate_witness	on_shell_and_universal_selection
