catch_id	mutation	required_detection
F01	change_frozen_source_blob	source_replay_fails
F02	add_unregistered_profile_or_point	candidate_universe_fails
F03	accept_only_spatially_stationary_Killing_candidates	full_Killing_argument_fails
F04	promote_zero_Jacobian_to_nonuniqueness	semantic_verifier_fails
F05	promote_one_witness_to_universal_family	maximum_conclusion_fails
F06	call_profile_or_lambda_selected	premise_guard_fails
F07	drop_constant_depth_control	candidate_census_fails
F08	drop_twist_free_control	candidate_census_fails
F09	cross_slice_null_stratum	strict_slice_gate_fails
F10	allow_twist_zero_to_define_ruler	full_pair_gate_fails
F11	infer_fixed_component_plane	frame_equivariance_gate_fails
F12	make_projector_depend_on_K_sign_or_scale	representative_independence_fails
F13	omit_discrete_or_critical_set_scope	global_argument_scope_fails
F14	claim_on_shell_or_physical_branch	physics_promotion_guard_fails
F15	claim_action_source_density_bootstrap_or_mass	physics_promotion_guard_fails
F16	alter_invariant_set_after_outcome	preregistration_replay_fails
F17	use_floating_nonzero_as_exact_certificate	exact_arithmetic_gate_fails
F18	strand_global_ruler_or_clock_at_any_cell_point	constant_rank_gate_fails
F19	call_registered_q_squared_universal	contact_authority_guard_fails
F20	bank_without_fresh_adversarial_review	four_gates_fail

