gate_id	result	evidence
G01	PASS_EXPLICIT_WITNESS	u_is_weighted_quadratic_with_exact_range_4_to_11
G02	PASS_EXPLICIT_WITNESS	det_coframe=u^lambda_nonzero_global_Maurer_Cartan_forms
G03	PASS_EXPLICIT_WITNESS	u^2-a^2_at_least_15_for_primary_a_equals1
G04	PASS_EXPLICIT_WITNESS	g_KK=-1/u_negative_everywhere
G05	PASS_EXPLICIT_WITNESS	distinct_quadratic_u_nonconstant
G06	PASS_EXPLICIT_WITNESS	five_exact_nonzero_curvature_invariant_Jacobians
G07	PASS_EXPLICIT_WITNESS	twist_coefficient=a_kappa_u^(-(3+2lambda)/2)_nonzero
G08	PASS_EXPLICIT_WITNESS	twist_dual_spacelike_nonzero_orthogonal_to_timelike_K
G09	PASS_EXPLICIT_WITNESS	global_nonzero_K_and_W_give_constant_rank_two
G10	PASS_EXPLICIT_WITNESS	K_rescale_changes_twist_by_positive_square_and_outer_products_unchanged
G11	PASS_EXPLICIT_WITNESS	tensorial_lines_and_projector_conjugate_under_frame_change
G12	PASS_EXPLICIT_WITNESS	X_pair=T_tensor_Tflat_plus_S_tensor_Sflat_has_eigenvalues_minus1_plus1_zero_zero
G13	PASS_EXPLICIT_WITNESS	result_fields_keep_profile_lambda_action_source_density_mass_unselected
