path	sha256	missing_requirements	introducing_commit	introducing_commit_time	fixed_snapshot_status
simple_metric_EOS_power_window_dS_results.md	d7b2eb9eb6afc9ac9bb159a86d6199237cccd800dcbe4a13ce30c1069b0f082d	VERIFIER_STATUS;BUILD_ON_GRADE_ALLOWED_VALUE	781ef34529113e29c2f0b2a51769aba00cfc43ad	2026-07-09T17:24:54-04:00	REFERENCED_BY_SIX_FROZEN_PACKAGES
simple_metric_GR_mine_embedding_fork_results.md	f4100dca9387b01e3bdbbef26cf1adaee47ac405aadc92afa40ae287eb0d9702	OBSERVING_OR_TARGETING;VERIFIER_STATUS	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_HL_unification_results.md	2ab740cf52cec3de3cba62bdfc52da79b3bcb3b4659ff3ba145491ee1c33997f	VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NOT_FROZEN_OR_MANIFEST
simple_metric_J1_honesty_skeleton_results.md	70142a2d0072aaac73deb4bc029cd7a7737499941a9bbc7a77e8f143f8d34255	VERIFIER_STATUS	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NOT_FROZEN_OR_MANIFEST
simple_metric_L_P_selection_derive_results.md	7ef526caf3fa2ed89ea20f5d157e62a60e7a258392b550f1311645637c3027aa	VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_L_native_optical_derive_results.md	3da5b6a53d77c5433348daa55f9d06cff33f8d6809adf84e55c76a5dba2474e1	VERIFIER_STATUS	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NOT_FROZEN_OR_MANIFEST
simple_metric_L_principle_closure_attack_results.md	bb65f7e621c6e6f51c13c19af60dc0727d14e50fbc2a1a1522f10e03e8cf2862	VERIFIER_STATUS;NOT_CLAIMED	390e5c5c5cb4ae805ee6be4c48a5c355483ffe3f	2026-07-09T16:20:41-04:00	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES
simple_metric_L_wall_regularity_closure_results.md	0c68719277edb652fcb825d225f02cb8bb25f16a36efe6b40f3b1d9a5147b6b8	VERIFIER_STATUS;NOT_CLAIMED;BUILD_ON_GRADE_ALLOWED_VALUE	013f0b40e8644c18f56f561c9b018f7f67c2ae39	2026-07-09T16:27:40-04:00	REFERENCED_BY_SIX_FROZEN_PACKAGES
simple_metric_S3_native_dust_ceiling_results.md	6956f14d75ab838468a7ba0c8316515e01b4858287740c169f9ec5cfa2c6eea0	BUILD_ON_GRADE_ALLOWED_VALUE	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_SNe_shape_clue_results.md	e460f07fca464315316c906f5580434adc9a4e6a23ee55e15363bef1f7507dbe	VERIFIER_STATUS	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_WR_L_center_invariants_second_pass_results.md	dc6e9d63f9081b677a3b36d9f9794bca6aaca23d185d2fffe7b3f0291e69f3d2	OBSERVING_OR_TARGETING;VERIFIER_STATUS;NOT_CLAIMED;BUILD_ON_GRADE_ALLOWED_VALUE	797dd39eeee4713f83c18ca588789eb6805c22ce	2026-07-09T17:11:29-04:00	REFERENCED_BY_SIX_FROZEN_PACKAGES
simple_metric_WR_L_center_nogo_atlas_results.md	ddb9b5753b25d94a5af015c96b871c55d8d62b0e9eeccd6af7b18214e0f0d7cb	VERIFIER_STATUS;NOT_CLAIMED;BUILD_ON_GRADE_ALLOWED_VALUE	86243b164a1f03fcd9b91b18f3b49615f80667ab	2026-07-09T17:08:47-04:00	REFERENCED_BY_SIX_FROZEN_PACKAGES
simple_metric_WR_L_center_recenter_exclusion_results.md	bde9da39bc245019b7db0292a97940207516b1b1e19c687b8cf57c1485edb083	OBSERVING_OR_TARGETING;VERIFIER_STATUS;NOT_CLAIMED;BUILD_ON_GRADE_ALLOWED_VALUE	be3f0a62ea85fff208512a5a5a31185b5a5c57a7	2026-07-09T17:19:12-04:00	REFERENCED_BY_SIX_FROZEN_PACKAGES
simple_metric_WR_L_external_triple_blind_audit_results.md	aaccc42a02a3eb836c294e43da4249eec7480a5a28d2740778fbff5e8f7025a1	PREMISE_LEDGER;OBSERVING_OR_TARGETING;VERIFIER_STATUS;NOT_CLAIMED;BUILD_ON_GRADE_ALLOWED_VALUE	8206089c5d26252f1b1c27ddab92963c429fc2bb	2026-07-09T16:49:22-04:00	REFERENCED_BY_SIX_FROZEN_PACKAGES
simple_metric_alpha_restoring_probe_results.md	53ba0d302576e8c3cd642781dfbfb8389d8235409de28da821fce8b869884208	OBSERVING_OR_TARGETING;VERIFIER_STATUS;NOT_CLAIMED	564ac41c15bb39b778d5b3181eefaf9e903bb275	2026-07-09T18:46:21-04:00	NOT_FROZEN_OR_MANIFEST
simple_metric_angular_on_L_multipole_results.md	89a859e744d8e6cef7eb3cd3de713c4ad3a3424658e4f542926bab9a1e4ca42a	VERIFIER_STATUS	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES
simple_metric_angular_timelive_L_results.md	f1cbd1021a20617064824500db12efe80dec3fb2a84014516838ccdc955dfe73	VERIFIER_STATUS	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_bao_cf_process_results.md	96c53cca99f5afa86b4a19ca9103a5be46a3435137a17d81f1a2ced7df98e5a0	PREMISE_LEDGER;OBSERVING_OR_TARGETING;VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_bao_disk_inventory_results.md	c1ae4b58144b168ae33f3a52f7305491a4dca0ba77194c93d57598e15ff4ff4d	PREMISE_LEDGER;OBSERVING_OR_TARGETING;VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_bao_proper_pass_results.md	020bdf1dab06efc2a5adc6c70554690793867381d9a5918fb855c13b7d6cbdab	PREMISE_LEDGER;OBSERVING_OR_TARGETING;VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NOT_FROZEN_OR_MANIFEST
simple_metric_bao_pure_AP_character_results.md	4a88896ee9a32ef3412cd6d68d913b758977843a1a6d7fddc2c8fae9341816a7	VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NOT_FROZEN_OR_MANIFEST
simple_metric_center_dS_external_verify_pass_results.md	b1fe2115540af8dcb6ca4b33d5b6dd6cd58f709af1a2a0fc487f405a3044d1a9	PREMISE_LEDGER;OBSERVING_OR_TARGETING;VERIFIER_STATUS;NOT_CLAIMED;BUILD_ON_GRADE_ALLOWED_VALUE	690fbb3e5bb70f3752b724e37c92a6c4dc9c355f	2026-07-09T17:56:51-04:00	REFERENCED_BY_SIX_FROZEN_PACKAGES
simple_metric_dS_native_any_alpha_closed_results.md	4ec5cd6e8ba78070343db82330fb957eef78994d1ee076b6b30887e3d1a36109	OBSERVING_OR_TARGETING;VERIFIER_STATUS;NOT_CLAIMED;BUILD_ON_GRADE_ALLOWED_VALUE	564ac41c15bb39b778d5b3181eefaf9e903bb275	2026-07-09T18:46:21-04:00	REFERENCED_BY_SIX_FROZEN_PACKAGES
simple_metric_elegance_SNe_character_results.md	4d0712b32f6c34872135808501d4d9a9fe6cc5d011eaba5039a8d9be8641f00e	VERIFIER_STATUS	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	R0_FROZEN_EVIDENCE
simple_metric_hard_explore_results.md	154f9b377c011067c64da5649b785cfc573bc93c06599ba20643d294633bba3a	VERIFIER_STATUS;NOT_CLAIMED	072e3d50b87808b5cb99f2d9660a0d735f918669	2026-07-09T15:33:08-04:00	NOT_FROZEN_OR_MANIFEST
