reduction_id	parent_assignment	resulting_branch	status	role	premises_not_in_parent	controlling_source
R01	project E_i to founded base block A=D_phi	abstract reciprocal two-slot action	DERIVED	CONSISTENCY_CHECK_ONLY	physical complete-coframe realization remains open	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
R02	D_i=I2 and S_i=0	direct-sum spectator diag(exp(-phi),exp(phi),1,1)	DERIVED_EXACT_WITNESS	CONSISTENCY_CHECK_ONLY	unchanged transverse metric plus no mixing	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
R03	trace(K_i)=0	determinant-one extension family with six chart directions	DERIVED_CLASSIFICATION	CONSISTENCY_CHECK_ONLY	determinant one is separately supplied not selected physics	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
R04	K_i=diag(-k,+k) and C_i=0	reciprocal angular counterfamily	DERIVED_EXACT_COUNTERMODEL	CONSISTENCY_CHECK_ONLY	constant-generator aligned angular axes	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
R05	K_i=0 and one lower mixing generator nonzero	shift-mixing counterfamily	DERIVED_EXACT_COUNTERMODEL	CONSISTENCY_CHECK_ONLY	constant lower generator	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
R06	bar_beta=(c_E dt+alpha sigma3,sigma3); D_i=P_screen(x); S_i=0	stationary off-shell block-screen R_times_S3 family	DERIVED_BOUNDED_CONFIGURATION_CLASS	CONSISTENCY_CHECK_ONLY	stationarity S3 completion block screen and chosen reference coframe	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md
R07	s_phi<0 and dphi nonzero	timelike-phi local clock foliation and rank-one projector	DERIVED_LOCAL_CONDITIONAL	CONSISTENCY_CHECK_ONLY	physical branch selection and global time orientation	udt_temporal_soldering_atlas_2026-07-22/STATUS_LEDGER.tsv
R08	s_phi>0 and dphi nonzero	spacelike-depth foliation with Lorentzian leaves	DERIVED_LOCAL_CONDITIONAL	CONSISTENCY_CHECK_ONLY	intra-leaf time and global completion remain open	udt_temporal_soldering_atlas_2026-07-22/STATUS_LEDGER.tsv
R09	stationary complete branch with intrinsic timelike Killing line	delta_K endpoint depth and exact alpha_K	DERIVED_BOUNDED	CONSISTENCY_CHECK_ONLY	stationarity Killing line and event typing	udt_complete_physical_comparison_map_audit_2026-07-27/AUDIT_REPORT.md
R10	supplied X gamma rho_gamma U_gamma	path-labelled extension comparison functor	AVAILABLE_CONDITIONAL_EXACT	CONSISTENCY_CHECK_ONLY	physical arrows section path ontology and reset law remain open	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/AUDIT_REPORT.md
R11	smooth finite phi and P_screen:S3_to_GL2R	global nondegenerate stationary S3 configurations	DERIVED_EXISTENCE_CLASS	CONSISTENCY_CHECK_ONLY	one chosen topology coframe and stationarity not selected universe	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md
