entry_id	expression_or_rule	entry_class	status	domain_or_premises	what_it_does_not_imply	controlling_source
F01	rho_pr-rho_pq-rho_qr=0	FOUNDED_IDENTITY	DERIVED	abstract typed reciprocal depth on composable arrows	physical path profile global scalar or complete metric	udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md
F02	D(phi2)D(phi1)=D(phi1+phi2)	FOUNDED_IDENTITY	DERIVED	founded reciprocal pair	a complete coframe extension selector	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md
F03	D(-phi)=D(phi)^-1	FOUNDED_IDENTITY	DERIVED	founded reciprocal pair	a mirror seam or global quotient	udt_founding_reciprocity_object_audit_2026-07-27/STATUS_LEDGER.tsv
F04	H_and_reciprocal_plane_transform_equivariantly_with_frame	FOUNDED_IDENTITY	DERIVED_COVARIANT_FORM	observer-frame reciprocity	one fixed global reciprocal plane	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md
D01	E(A,D,S)=[[A,0],[DS,D]]	DEFINITION	DEFINED	registered positive-triangular coframe chart	physical selection of chart member	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/PREREGISTRATION.md
D02	A=D_phi_i_in_registered_pair_section	DEFINITION	DERIVED_BOUNDED_SECTION	gradient-adapted local reciprocal pair realization with supplied phi_i	global scalar or universal local-Lorentz-independent embedding	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md
D03	theta_i=E_i_bar_theta_i	DEFINITION	DEFINED	local complete-coframe chart	global glue or dynamics	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/PREREGISTRATION.md
D04	g=eta_ab_theta_i^a_tensor_theta_i^b	DEFINITION	DEFINED_REGISTERED_READOUT	Lorentzian coframe reading	EH equation or native action	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/PREREGISTRATION.md
G01	det(E)=det(A)det(D)	GEOMETRIC_IDENTITY	DERIVED	block-triangular extension	determinant-one as a physical law	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
G02	E^-1=[[A^-1,0],[-S*A^-1,D^-1]]	GEOMETRIC_IDENTITY	DERIVED	invertible A and D	selected mixing or angular block	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/PREREGISTRATION.md
