object_id	object	mathematical_type	status	parent_ids	consumers	gauge_or_equivalence	controlling_source
O01	M	four-dimensional differentiable configuration manifold	DEFINED_GENERIC_ARENA	-	O02;O03;O04;O20;O25	diffeomorphism presentation	udt_global_functional_dof_constraint_rank_audit_2026-07-26/AUDIT_REPORT.md
O02	U_i	chart cover and overlaps	DEFINED_PRESENTATION	O01	O11;O13;O24	coordinate changes	udt_global_functional_dof_constraint_rank_audit_2026-07-26/LOCAL_PRESENTATION_RANK.tsv
O03	FstarM	invertible local coframe bundle	DEFINED_GENERIC_ARENA	O01	O11;O13;O14	local Lorentz coframe presentation	udt_global_functional_dof_constraint_rank_audit_2026-07-26/AUDIT_REPORT.md
O04	g	Lorentzian metric configuration	DEFINED_REGISTERED_READOUT	O01;O13	O16;O17;O18;O19;O21;O22;O32	diffeomorphism invariant; coframe Lorentz gauge	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/PREREGISTRATION.md
O05	B_reciprocal	abstract rank-two reciprocal clock-ruler representation	NATIVE_DERIVED	O01	O06;O07;O08;O09	observer-frame equivariance; no fixed global plane	udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md
O06	phi_i	local depth potential representing the founded additive reciprocal parameter in a supplied realization	NATIVE_DERIVED_ALGEBRA__PHYSICAL_ASSIGNMENT_OPEN	O05;O09	O08;O12;O16;O21	additive constant cancels in endpoint differences; global transition open	CURRENT_SCIENTIFIC_PREMISES.tsv
O07	H	reciprocal generator diag(-1,+1)	NATIVE_DERIVED	O05	O08;O12	conjugates equivariantly under frame change	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/STATUS_LEDGER.tsv
O08	D_phi	reciprocal character exp(phi_i H) in a supplied local realization	NATIVE_DERIVED	O06;O07	O12;O21;O23	abstract pair representation; physical assignment remains open	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
O09	Iota_B	local embedding or realization of reciprocal pair in complete coframe	OPEN_GLOBAL_REALIZATION	O03;O05	O10;O12;O24	must descend equivariantly; no preferred fixed plane	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md
O10	N_i	local rank-two screen/complement presentation	DEFINED_CHART_SLOT	O03;O09	O11;O12;O19	local O(2) screen rotation plus chart changes	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md
O11	bar_theta_i	local reference coframe split into base beta_i and screen sigma_i	DEFINED_PRESENTATION	O02;O03;O09;O10	O12;O13	coordinate and coframe gauge; split not intrinsically selected	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/PREREGISTRATION.md
O12	E_i	positive-triangular complete-coframe extension block	DERIVED_POINTWISE_CLASS	O08;O10;O11	O13;O24	seven chart directions after founded base is fixed; not mode count	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv
O13	theta_i	complete local coframe E_i bar_theta_i	DEFINED_FROM_EXTENSION	O03;O11;O12	O04;O17;O24	local Lorentz and coordinate presentation	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/PREREGISTRATION.md
O14	SO_1_3_local	local Lorentz coframe-presentation group	DEFINED_GAUGE_LAYER	O03;O04	O09;O13;O24	gauge equivalence, not a physical selector	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md
O15	Diff_M	coordinate-presentation group	DEFINED_GAUGE_LAYER	O01;O02	O04;O13;O24	gauge presentation, not a field equation	udt_global_functional_dof_constraint_rank_audit_2026-07-26/LOCAL_PRESENTATION_RANK.tsv
O16	dphi_and_s_phi	phi first jet and metric causal scalar g_inverse(dphi,dphi)	DERIVED_GEOMETRIC_DATA	O04;O06	O19;O30	scalar and covector covariance	udt_temporal_soldering_atlas_2026-07-22/STATUS_LEDGER.tsv
O17	omega_LC	Levi-Civita connection of g in theta_i	DEFINED_METRIC_CONNECTION	O04;O13	O18;O19;O22;O23	inhomogeneous local-frame connection law	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md
O18	Omega_LC	Cartan curvature two-form	DEFINED_GEOMETRIC_IDENTITY	O17	O19;O29;O31	local-frame conjugation	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md
O19	P_a	metric-derived projector/distribution family where rank is regular	DERIVED_CONDITIONAL_GEOMETRY	O04;O10;O16;O17	O22;O25;O29	projector similarity under chart/coframe change	udt_global_metric_assembly_atlas_2026-07-22/STATUS_LEDGER.tsv
O20	Obs_M	observer-event-arrow query category	DERIVED_TYPED_ARGUMENT_LAYER	O01	O21;O22;O23;O32	observer-frame covariance; physical object set remains open	udt_complete_physical_comparison_map_audit_2026-07-27/AXIOM_LEDGER.tsv
O21	rho_pq	signed additive observer-pair depth	DERIVED_ABSTRACT_CONDITIONAL_PHYSICAL	O06;O08;O20	O23	order reversal and additive composition	udt_founding_reciprocity_object_audit_2026-07-27/STATUS_LEDGER.tsv
O22	U_gamma	Levi-Civita coframe transport along supplied typed path	AVAILABLE_CONDITIONAL_EXACT	O17;O20	O23;O32	path-labelled; frame conjugation at endpoints	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/AUDIT_REPORT.md
O23	C_gamma	hybrid reciprocal-depth plus coframe comparison data	AVAILABLE_CONDITIONAL_EXACT	O08;O21;O22	O29;O32	path groupoid composition; physical path semantics open	udt_complete_physical_comparison_map_audit_2026-07-27/AUDIT_REPORT.md
O24	T_ij	chart/coframe/extension transition data on overlaps	OPEN_COMPLETE_GLUE	O02;O09;O12;O13;O14;O15	O25;O26;O28	cocycle and local-Lorentz equivariance required	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/STATUS_LEDGER.tsv
O25	Q_completion	global topology quotient cap seam or cell-completion sector	CHARACTERIZED_BOUNDED_OPEN_SELECTION	O01;O19;O24	O26;O28;O31;O32	sector labels and gluing equivalences	udt_global_metric_assembly_atlas_2026-07-22/STATUS_LEDGER.tsv
O26	B_boundary	boundary seal seam corner and orientation data	OPEN_GLOBAL_DATA	O24;O25	O28;O29;O31	boundary gauge and completion equivalence open	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv
O27	c_E_G_obs	observed dimensional calibration anchors	OBSERVED_ANCHORS	observation	O04;O29;O31;O32	unit changes only; no local conformal gauge inferred	CURRENT_SCIENTIFIC_PREMISES.tsv
O28	C_config	sections of complete extension/gluing data modulo presentation gauge	OPEN_GLOBAL_CONFIGURATION_DOMAIN	O04;O09;O12;O14;O15;O24;O25;O26	O29;O30;O31;O33	quotient and admissible variation domain not completed	udt_native_stability_configuration_space_audit_2026-08-01/CONFIGURATION_OBJECT_LEDGER.tsv
O29	F_UDT	native covariant law or response on complete configurations	OPEN_LAW_SLOT	O18;O20;O23;O26;O28	O30;O31;O32;O33	must be gauge/covariance compatible; codomain open	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md
O30	V_config	physical variation initial-data and observer-event domain	OPEN_LAW_SLOT	O16;O20;O28;O29	O31;O33	gauge versus physical tangent quotient open	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/STATUS_LEDGER.tsv
O31	B_bootstrap	global-local same-solution return or admissibility operation	WORKING_ON_SHELL_ONLY	O18;O25;O26;O27;O29;O30	O32;O33	no optimizer or density map supplied	CURRENT_SCIENTIFIC_PREMISES.tsv
O32	D_g_and_Xmax	global observer-pair separation functional and its supremum	WORKING_SCHEMA_OPEN_OPERATOR	O20;O22;O23;O25;O27;O29;O31	observational readouts	path family domain and cut-locus semantics open	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md
O33	matter_source_carrier_mass	native matter source carrier persistence and mass layer	OPEN_DOWNSTREAM	O28;O29;O30;O31	conditional Hopfion and mass-bearing branches	carrier/action/topology premises remain explicit	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv
