id	claim_tested	countermodel_or_witness	what_it_preserves	what_it_changes	ruling
C01	A nonlinear Bach solution would select the physical scale	If g solves B[g]=0 then lambda^2 g and positive Omega^2 g retain the Bach zero set absent boundary breaking	all local conditional C2 equations	proper sizes volumes and representative curvature	REFUTES_SUFFICIENCY
C02	A nonlinear Bach solution would derive C2 as founding UDT physics	Two action classes can share the same solution while differing off shell; class premises remain additional	candidate solution geometry	action authority and variation domain	REFUTES_SUFFICIENCY
C03	Deriving the C2 boundary variation selects physical boundary data	Fourth-order toy S[y]=integral(y'')^2 has the same bulk y''''=0 with Dirichlet natural or mixed differentiable completions	bulk fourth-order equation	fixed data boundary term and charge	REFUTES_UNIQUENESS
C04	The finite wall endpoint data select the CSN representative	Endpoint-flat Omega_epsilon family from the accepted boundary audit preserves endpoint/causal/optical data	registered wall data and CSN class	interior lengths volumes curvature	REFUTES_CURRENT_SUFFICIENCY
C05	Current bootstrap selects lambda	M,Xmax scaling orbit leaves GM/(c^2Xmax) and G rho Xmax^2/c^2 unchanged	dimensionless bootstrap residual	absolute M Xmax volume and scale	REFUTES_ABSOLUTE_SCALE_SELECTION
C06	Choosing a representative converts C2/Bach into EH	C2 and EH have different derivative order field content and homothety weight on the same g_star	the chosen metric point	off-shell equations perturbations and boundary data	REFUTES_DYNAMICAL_CONVERSION
C07	c and G determine Xmax without native mass structure	Similarity orbit with M,Xmax->lambda(M,Xmax) keeps c,G and compactness fixed	observational anchors and dimensionless geometry	absolute mass and size	REFUTES_ANCHORS_AS_SUFFICIENT
C08	Jacobi rigidity proves nonlinear rigidity	A nonlinear equation may possess disconnected finite-amplitude branches with no linear zero mode	local tangent operator at round branch	global branch set	REFUTES_LOGICAL_IMPLICATION
C09	Compact cap rigidity applies unchanged to the physical wall	On a finite interval the integrated Laplacian and fourth-order integrations leave boundary flux	bulk differential identity	allowed boundary-supported solutions	REFUTES_DOMAIN_PROMOTION
C10	One missing selector closes the complete action	Even after the pre/post-scale fork is answered independent representative matching boundary and source edges remain	fork decision	complete closure graph	NO_SINGLE_CLOSING_SELECTOR
