catch	result
base_hash_mutation_rejected	PASS
counter_single_overclaim_rejected	PASS
derivation_next_route_mutation_rejected	PASS
derivation_single_selector_rejected	PASS
edge_match_overclaim_rejected	PASS
edge_rep_overclaim_rejected	PASS
maximum_overreach_rejected	PASS
missing_census_rejected	PASS
missing_counter_row_rejected	PASS
missing_edges_row_rejected	PASS
missing_routes_row_rejected	PASS
missing_scale_row_rejected	PASS
missing_scope_row_rejected	PASS
missing_source_rejected	PASS
missing_status_row_rejected	PASS
route_block_overclaim_rejected	PASS
route_rank_overclaim_rejected	PASS
scale_anchor_overclaim_rejected	PASS
scale_overclaim_rejected	PASS
status_action_overclaim_rejected	PASS
status_anchors_overclaim_rejected	PASS
status_bootstrap_overclaim_rejected	PASS
status_boundary_overclaim_rejected	PASS
status_bridge_overclaim_rejected	PASS
status_electron_overclaim_rejected	PASS
status_fork_overclaim_rejected	PASS
status_nonlinear_overclaim_rejected	PASS
status_rigidity_overclaim_rejected	PASS
