layer	coverage	status	omission_effect
route universe	nonlinear stationary boundary variation and variation-domain bridge exactly the three preregistered routes	COMPLETE_FOR_REGISTERED_COMPARISON	other future action classes remain logically open
scale algebra	C2 EH cosmological volume boundary comparison Xmax mass volume density c G and electron calibration weights	EXACT_DIMENSIONAL	weight is not dynamics or existence
nonlinear route	dependency and countermodel audit only	NOT_SOLVED	no branch existence/nonexistence claim
boundary route	general fourth-order variation countermodel and existing UDT boundary evidence	LOGICALLY_DECISIVE_FOR_NONUNIQUENESS	exact full C2 boundary symplectic potential remains next task
variation-domain route	accepted selector ledger and complete missing-edge graph	SOURCE_COMPLETE_CURRENT_RULE	no new premise means fork remains open
two-stage bridge	representative dynamical boundary source and normalization edges separated	DEPENDENCY_COMPLETE_CURRENT_FRAME	future theory may add or merge edges
solution-space discipline	positive results and negatives both tested for residual open dependencies	CHARACTERIZES_NOT_FILTERS	no route rejected for aesthetic merit
topology and dynamics	kept as dependency nodes	NOT_SOLVED	alternative topology and time-live branches remain open
matter and carrier	excluded and retained as missing source edge	NOT_PART_OF_SOLVE	no particle/mass conclusion
observational anchors	c G and electron-mass roles separated from equations	EXACT_ROLE_AUDIT	no numerical calibration performed
numerics	no long solve or GPU work	NOT_RUN_BY_DESIGN	dependency audit precedes next derivation
external adversarial review	no fresh disclosure authorization	NOT_PERFORMED	maximum grade VERIFIED-WITH-CAVEATS
